,Region,year_month,Car CPI,Semiconductor PPI,DMA
70,"Baltimore-Columbia-Towson, MD",2017-04-01,,56.0,Baltimore MD
71,"Boston-Cambridge-Newton, MA-NH",2017-04-01,,56.0,Boston MA-Manchester NH
72,"Chicago-Naperville-Elgin, IL-IN-WI",2017-04-01,,56.0,Chicago IL
73,"Dallas-Fort Worth-Arlington, TX",2017-04-01,,56.0,Dallas-Ft. Worth TX
74,"Denver-Aurora-Lakewood, CO",2017-04-01,,56.0,Denver CO
75,"Detroit-Warren-Dearborn, MI",2017-04-01,,56.0,Detroit MI
76,"Houston-The Woodlands-Sugar Land, TX",2017-04-01,,56.0,Houston TX
77,"Los Angeles-Long Beach-Anaheim, CA",2017-04-01,,56.0,Los Angeles CA
78,"Miami-Fort Lauderdale-West Palm Beach, FL",2017-04-01,,56.0,Miami-Ft. Lauderdale FL
79,"Minneapolis-St.Paul-Bloomington, MN-WI",2017-04-01,,56.0,Minneapolis-St. Paul MN
80,"New York-Newark-Jersey City, NY-NJ-PA",2017-04-01,,56.0,New York NY
81,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017-04-01,,56.0,Philadelphia PA
82,"Phoenix-Mesa-Scottsdale, AZ",2017-04-01,,56.0,Phoenix AZ
83,"Riverside-San Bernardino-Ontario, CA",2017-04-01,,56.0,
84,"San Diego-Carlsbad, CA",2017-04-01,,56.0,San Diego CA
85,"San Francisco-Oakland-Hayward, CA",2017-04-01,,56.0,San Francisco-Oakland-San Jose CA
86,Seattle-Tacoma-Bellevue WA,2017-04-01,,56.0,Seattle-Tacoma WA
87,"St. Louis, MO-IL",2017-04-01,,56.0,St. Louis MO
88,"Tampa-St. Petersburg-Clearwater, FL",2017-04-01,,56.0,Tampa-St. Petersburg (Sarasota) FL
89,Urban Alaska,2017-04-01,,56.0,Anchorage AK
90,Urban Hawaii,2017-04-01,,56.0,Honolulu HI
91,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017-04-01,,56.0,Washington DC (Hagerstown MD)
92,"Atlanta-Sandy Springs-Roswell, GA",2017-05-01,,56.0,Atlanta GA
93,"Baltimore-Columbia-Towson, MD",2017-05-01,,56.0,Baltimore MD
94,"Boston-Cambridge-Newton, MA-NH",2017-05-01,,56.0,Boston MA-Manchester NH
95,"Chicago-Naperville-Elgin, IL-IN-WI",2017-05-01,,56.0,Chicago IL
96,"Dallas-Fort Worth-Arlington, TX",2017-05-01,,56.0,Dallas-Ft. Worth TX
97,"Denver-Aurora-Lakewood, CO",2017-05-01,,56.0,Denver CO
98,"Detroit-Warren-Dearborn, MI",2017-05-01,,56.0,Detroit MI
99,"Houston-The Woodlands-Sugar Land, TX",2017-05-01,,56.0,Houston TX
100,"Los Angeles-Long Beach-Anaheim, CA",2017-05-01,,56.0,Los Angeles CA
101,"Miami-Fort Lauderdale-West Palm Beach, FL",2017-05-01,,56.0,Miami-Ft. Lauderdale FL
102,"Minneapolis-St.Paul-Bloomington, MN-WI",2017-05-01,,56.0,Minneapolis-St. Paul MN
103,"New York-Newark-Jersey City, NY-NJ-PA",2017-05-01,,56.0,New York NY
104,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017-05-01,,56.0,Philadelphia PA
105,"Phoenix-Mesa-Scottsdale, AZ",2017-05-01,,56.0,Phoenix AZ
106,"Riverside-San Bernardino-Ontario, CA",2017-05-01,,56.0,
107,"San Diego-Carlsbad, CA",2017-05-01,,56.0,San Diego CA
