DMA,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Jacksonville FL,43.27,36.4,50.33,38.87,64.67,56.47,36.67,53.8,62.27,46.07,33.87,36.87
Kansas City MO,61.0,60.8,59.13,65.93,65.73,79.8,58.13,67.27,70.0,66.93,52.53,65.67
Knoxville TN,58.47,44.33,50.4,39.07,48.2,43.4,28.27,45.0,46.6,43.87,32.0,39.8
Lansing MI,26.83,30.23,52.4,54.93,40.23,27.33,25.93,35.4,50.73,52.93,26.4,39.93
Las Vegas NV,77.2,71.2,63.53,72.6,84.93,79.47,70.2,81.4,81.4,70.0,61.33,85.93
Lexington KY,23.07,35.8,43.93,54.8,55.13,41.53,36.8,42.87,41.47,42.4,33.93,43.07
Lincoln & Hastings-Kearney NE,56.31,32.0,38.54,30.92,46.92,56.64,45.86,39.86,51.71,45.5,30.21,45.07
Little Rock-Pine Bluff AR,36.33,44.6,50.87,53.47,70.4,49.73,48.13,48.47,48.2,47.73,37.13,47.4
Los Angeles CA,62.13,66.67,80.0,80.53,84.53,84.0,58.07,71.2,71.53,62.93,50.2,62.13
Louisville KY,42.6,32.07,49.6,55.93,53.6,66.27,45.4,61.53,60.07,63.07,49.13,56.73
Madison WI,31.07,43.87,40.6,40.13,54.47,45.13,25.93,59.87,55.93,47.73,35.93,52.8
Memphis TN,43.4,34.2,41.73,48.07,39.2,68.2,49.67,80.53,68.07,66.6,49.27,76.93
Miami-Ft. Lauderdale FL,48.6,47.93,70.47,64.87,65.67,65.53,56.2,54.0,64.8,47.4,36.0,45.73
Milwaukee WI,54.33,44.87,38.07,42.4,84.27,74.47,61.73,62.13,53.2,50.4,58.13,76.33
Minneapolis-St. Paul MN,42.4,37.73,40.2,62.27,49.87,39.93,38.93,46.53,50.4,56.27,56.73,63.6
Mobile AL-Pensacola (Ft. Walton Beach) FL,46.0,25.0,49.27,41.67,29.07,44.6,41.47,40.47,62.07,46.67,28.73,38.6
Monterey-Salinas CA,67.53,54.2,89.4,47.79,59.2,86.2,34.87,74.47,80.33,41.53,46.0,33.2
Nashville TN,34.73,41.07,50.13,53.4,49.4,49.73,43.93,58.67,61.67,48.93,36.93,49.6
New Orleans LA,39.47,38.2,45.33,67.6,59.87,57.53,49.13,60.6,57.87,65.67,31.33,60.27
New York NY,48.4,40.27,50.6,51.4,50.2,45.33,34.33,42.67,41.4,39.87,32.27,38.4
Norfolk-Portsmouth-Newport News VA,45.6,40.93,49.8,51.4,53.67,53.6,37.8,53.53,55.67,50.2,38.4,59.53
Oklahoma City OK,52.53,30.6,49.27,50.4,62.53,60.13,51.33,61.93,64.0,52.87,40.13,45.87
Omaha NE,52.0,53.13,68.6,71.13,57.27,70.53,37.67,52.53,66.27,49.6,40.8,56.53
Orlando-Daytona Beach-Melbourne FL,53.93,48.4,53.33,59.2,63.2,59.73,45.93,50.0,60.8,45.67,32.07,42.27
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,53.47,34.0,65.31,37.87,49.27,34.33,30.33,42.4,61.67,38.53,39.2,33.53
Peoria-Bloomington IL,40.25,44.2,41.93,47.8,35.67,28.8,31.53,40.0,48.87,33.13,34.67,40.0
Philadelphia PA,48.33,48.0,69.87,62.33,49.33,50.47,36.4,43.8,48.87,43.93,38.0,56.67
