year_month,DMA,GT MVT
2021-12,Minneapolis-St. Paul MN,58.8
2021-12,Nashville TN,43.6
2021-12,New Orleans LA,47.5
2021-12,New Orleans LA,45.0
2021-12,New York NY,68.7
2021-12,Norfolk-Portsmouth-Newport News VA,53.8
2021-12,Oklahoma City OK,35.1
2021-12,Omaha NE,49.2
2021-12,Ontario,78.4
2021-12,Philadelphia PA,66.7
2021-12,Phoenix AZ,42.3
2021-12,Portland OR,80.2
2021-12,Raleigh-Durham (Fayetteville) NC,55.9
2021-12,Sacramento-Stockton-Modesto CA,54.5
2021-12,San Antonio TX,34.2
2021-12,San Diego CA,40.6
2021-12,San Francisco-Oakland-San Jose CA,59.5
2021-12,Seattle-Tacoma WA,61.0
2021-12,Tucson AZ,33.9
2021-12,Tulsa OK,36.0
2021-12,Washington DC (Hagerstown MD),61.2
2021-12,Wichita-Hutchinson KS,34.6
2022-01,Albuquerque-Santa Fe NM,37.7
2022-01,Atlanta GA,54.9
2022-01,Austin TX,44.2
2022-01,Bakersfield CA,30.7
2022-01,Baltimore MD,50.4
2022-01,Boston MA-Manchester NH,32.9
2022-01,Charlotte NC,43.0
2022-01,Chicago IL,69.0
2022-01,Cincinnati OH,57.4
2022-01,Cincinnati OH,52.0
2022-01,Colorado Springs-Pueblo CO,29.0
2022-01,Columbus OH,79.5
2022-01,Dallas-Ft. Worth TX,67.4
2022-01,Denver CO,92.1
2022-01,Detroit MI,31.9
2022-01,El Paso TX,30.5
2022-01,Fresno-Visalia CA,39.7
2022-01,Houston TX,60.7
2022-01,Jacksonville FL,23.3
2022-01,Kansas City MO,64.7
2022-01,Las Vegas NV,57.8
2022-01,Los Angeles CA,71.9
2022-01,Louisville KY,62.6
2022-01,Memphis TN,31.4
2022-01,Miami-Ft. Lauderdale FL,52.1
2022-01,Milwaukee WI,71.9
2022-01,Minneapolis-St. Paul MN,83.6
2022-01,Nashville TN,56.8
2022-01,New Orleans LA,57.5
2022-01,New York NY,77.3
2022-01,Norfolk-Portsmouth-Newport News VA,54.5
2022-01,Oklahoma City OK,31.5
2022-01,Omaha NE,44.3
2022-01,Ontario,36.6
2022-01,Philadelphia PA,90.4
2022-01,Phoenix AZ,49.0
2022-01,Portland OR,45.0
2022-01,Raleigh-Durham (Fayetteville) NC,31.7
2022-01,Sacramento-Stockton-Modesto CA,44.9
2022-01,San Antonio TX,46.3
2022-01,San Diego CA,90.6
2022-01,San Francisco-Oakland-San Jose CA,90.6
2022-01,Seattle-Tacoma WA,67.3
2022-01,Tucson AZ,36.4
2022-01,Tulsa OK,45.6
2022-01,Washington DC (Hagerstown MD),51.4
2022-01,Wichita-Hutchinson KS,35.8
2022-02,Albuquerque-Santa Fe NM,63.2
2022-02,Atlanta GA,54.7
2022-02,Austin TX,45.2
2022-02,Bakersfield CA,31.4
2022-02,Baltimore MD,60.3
2022-02,Boston MA-Manchester NH,55.0
2022-02,Charlotte NC,49.9
2022-02,Chicago IL,53.1
2022-02,Cincinnati OH,41.8
2022-02,Cincinnati OH,38.0
2022-02,Colorado Springs-Pueblo CO,33.6
2022-02,Columbus OH,64.0
2022-02,Dallas-Ft. Worth TX,82.2
2022-02,Denver CO,52.8
2022-02,Detroit MI,65.4
2022-02,El Paso TX,33.3
2022-02,Fresno-Visalia CA,35.1
2022-02,Houston TX,63.3
2022-02,Jacksonville FL,29.7
2022-02,Kansas City MO,43.9
2022-02,Las Vegas NV,71.9
2022-02,Los Angeles CA,64.6
2022-02,Louisville KY,35.1
2022-02,Memphis TN,40.5
2022-02,Miami-Ft. Lauderdale FL,44.8
2022-02,Milwaukee WI,56.8
2022-02,Minneapolis-St. Paul MN,64.6
2022-02,Nashville TN,65.9
2022-02,New Orleans LA,63.6
2022-02,New Orleans LA,73.0
2022-02,New York NY,74.0
2022-02,Norfolk-Portsmouth-Newport News VA,43.8
2022-02,Oklahoma City OK,44.1
2022-02,Omaha NE,45.2
2022-02,Ontario,55.6
2022-02,Philadelphia PA,56.0
2022-02,Phoenix AZ,83.7
2022-02,Portland OR,99.2
2022-02,Raleigh-Durham (Fayetteville) NC,66.4
2022-02,Sacramento-Stockton-Modesto CA,48.5
2022-02,San Antonio TX,55.5
2022-02,San Diego CA,47.3
2022-02,San Francisco-Oakland-San Jose CA,97.0
2022-02,Seattle-Tacoma WA,97.4
2022-02,Tucson AZ,25.6
2022-02,Tulsa OK,47.3
2022-02,Washington DC (Hagerstown MD),67.2
2022-02,Wichita-Hutchinson KS,41.2
2022-03,Albuquerque-Santa Fe NM,40.7
2022-03,Atlanta GA,49.4
2022-03,Austin TX,51.6
2022-03,Bakersfield CA,21.0
2022-03,Baltimore MD,33.4
2022-03,Boston MA-Manchester NH,56.6
2022-03,Charlotte NC,50.1
2022-03,Chicago IL,74.6
2022-03,Cincinnati OH,68.2
2022-03,Cincinnati OH,35.8
2022-03,Colorado Springs-Pueblo CO,47.8
2022-03,Columbus OH,63.6
2022-03,Dallas-Ft. Worth TX,87.5
2022-03,Denver CO,93.6
2022-03,Detroit MI,71.6
2022-03,El Paso TX,25.6
2022-03,Fresno-Visalia CA,26.2
2022-03,Houston TX,77.9
2022-03,Jacksonville FL,23.6
2022-03,Kansas City MO,29.9
2022-03,Las Vegas NV,88.8
2022-03,Los Angeles CA,59.6
2022-03,Louisville KY,36.7
2022-03,Memphis TN,23.5
2022-03,Miami-Ft. Lauderdale FL,54.2
2022-03,Milwaukee WI,61.6
2022-03,Minneapolis-St. Paul MN,45.1
2022-03,Nashville TN,23.1
2022-03,New Orleans LA,50.4
2022-03,New Orleans LA,41.0
2022-03,New York NY,84.4
2022-03,Norfolk-Portsmouth-Newport News VA,27.5
2022-03,Oklahoma City OK,35.6
2022-03,Omaha NE,40.8
2022-03,Ontario,52.9
2022-03,Philadelphia PA,62.0
2022-03,Phoenix AZ,47.1
2022-03,Portland OR,59.9
2022-03,Raleigh-Durham (Fayetteville) NC,35.9
2022-03,Sacramento-Stockton-Modesto CA,61.3
2022-03,San Antonio TX,44.9
2022-03,San Diego CA,51.3
2022-03,San Francisco-Oakland-San Jose CA,72.4
2022-03,Seattle-Tacoma WA,79.7
2022-03,Tucson AZ,51.7
2022-03,Tulsa OK,28.4
2022-03,Washington DC (Hagerstown MD),68.6
2022-03,Wichita-Hutchinson KS,34.1
2022-04,Albuquerque-Santa Fe NM,39.8
2022-04,Atlanta GA,54.7
2022-04,Austin TX,48.1
2022-04,Bakersfield CA,37.3
2022-04,Baltimore MD,39.4
2022-04,Boston MA-Manchester NH,50.9
2022-04,Charlotte NC,38.6
2022-04,Chicago IL,70.4
2022-04,Cincinnati OH,48.6
2022-04,Cincinnati OH,48.0
2022-04,Colorado Springs-Pueblo CO,33.8
2022-04,Columbus OH,40.4
2022-04,Dallas-Ft. Worth TX,91.1
2022-04,Denver CO,55.4
2022-04,Detroit MI,55.0
2022-04,El Paso TX,36.9
2022-04,Fresno-Visalia CA,43.5
2022-04,Houston TX,89.9
2022-04,Jacksonville FL,37.5
2022-04,Kansas City MO,66.2
2022-04,Las Vegas NV,52.9
2022-04,Los Angeles CA,57.2
2022-04,Louisville KY,30.6
2022-04,Memphis TN,38.5
2022-04,Miami-Ft. Lauderdale FL,55.8
2022-04,Milwaukee WI,62.8
2022-04,Minneapolis-St. Paul MN,37.5
2022-04,Nashville TN,32.8
2022-04,New Orleans LA,72.6
2022-04,New Orleans LA,73.0
2022-04,New York NY,100.0
2022-04,Norfolk-Portsmouth-Newport News VA,34.4
2022-04,Oklahoma City OK,23.9
2022-04,Omaha NE,49.4
2022-04,Ontario,64.7
2022-04,Philadelphia PA,56.6
2022-04,Phoenix AZ,57.6
2022-04,Portland OR,61.0
2022-04,Raleigh-Durham (Fayetteville) NC,71.9
2022-04,Sacramento-Stockton-Modesto CA,49.3
2022-04,San Antonio TX,27.4
2022-04,San Diego CA,42.7
2022-04,San Francisco-Oakland-San Jose CA,67.2
2022-04,Seattle-Tacoma WA,65.8
2022-04,Tucson AZ,32.2
2022-04,Tulsa OK,25.5
2022-04,Washington DC (Hagerstown MD),60.6
2022-04,Wichita-Hutchinson KS,24.9
2022-05,Albuquerque-Santa Fe NM,43.4
2022-05,Atlanta GA,63.8
2022-05,Austin TX,39.6
2022-05,Bakersfield CA,23.7
2022-05,Baltimore MD,53.3
2022-05,Boston MA-Manchester NH,35.5
2022-05,Charlotte NC,57.4
2022-05,Chicago IL,61.4
2022-05,Cincinnati OH,37.0
2022-05,Colorado Springs-Pueblo CO,42.3
2022-05,Columbus OH,54.1
2022-05,Dallas-Ft. Worth TX,68.4
2022-05,Denver CO,76.3
2022-05,Detroit MI,61.6
2022-05,El Paso TX,28.4
2022-05,Fresno-Visalia CA,48.8
2022-05,Houston TX,54.0
2022-05,Jacksonville FL,26.3
2022-05,Kansas City MO,50.0
2022-05,Las Vegas NV,62.7
2022-05,Los Angeles CA,64.3
2022-05,Louisville KY,40.8
2022-05,Memphis TN,50.2
2022-05,Miami-Ft. Lauderdale FL,51.5
2022-05,Milwaukee WI,52.8
2022-05,Minneapolis-St. Paul MN,37.3
2022-05,Nashville TN,57.8
2022-05,New Orleans LA,42.2
2022-05,New Orleans LA,42.0
2022-05,New York NY,62.4
2022-05,Norfolk-Portsmouth-Newport News VA,48.0
2022-05,Oklahoma City OK,24.7
2022-05,Omaha NE,31.3
2022-05,Ontario,81.1
2022-05,Philadelphia PA,61.9
2022-05,Phoenix AZ,55.0
2022-05,Portland OR,63.0
2022-05,Raleigh-Durham (Fayetteville) NC,37.4
2022-05,Sacramento-Stockton-Modesto CA,45.3
2022-05,San Antonio TX,79.6
2022-05,San Diego CA,52.3
2022-05,San Francisco-Oakland-San Jose CA,71.2
2022-05,Seattle-Tacoma WA,43.2
2022-05,Tucson AZ,33.8
2022-05,Tulsa OK,46.4
2022-05,Washington DC (Hagerstown MD),67.0
2022-05,Wichita-Hutchinson KS,26.7
2022-06,Albuquerque-Santa Fe NM,35.8
2022-06,Atlanta GA,48.0
2022-06,Austin TX,55.9
2022-06,Bakersfield CA,17.7
2022-06,Baltimore MD,45.0
2022-06,Boston MA-Manchester NH,43.3
2022-06,Charlotte NC,42.6
2022-06,Chicago IL,66.5
2022-06,Cincinnati OH,37.8
2022-06,Colorado Springs-Pueblo CO,33.7
2022-06,Columbus OH,62.5
2022-06,Dallas-Ft. Worth TX,74.6
2022-06,Denver CO,81.7
2022-06,Detroit MI,75.6
2022-06,El Paso TX,23.8
2022-06,Fresno-Visalia CA,33.2
2022-06,Houston TX,58.9
2022-06,Jacksonville FL,18.7
2022-06,Kansas City MO,42.4
2022-06,Las Vegas NV,46.0
2022-06,Los Angeles CA,49.8
2022-06,Louisville KY,39.8
2022-06,Memphis TN,41.4
2022-06,Miami-Ft. Lauderdale FL,54.2
2022-06,Milwaukee WI,55.0
2022-06,Minneapolis-St. Paul MN,48.3
2022-06,Nashville TN,48.6
2022-06,New Orleans LA,43.2
2022-06,New Orleans LA,57.0
2022-06,New York NY,66.1
2022-06,Norfolk-Portsmouth-Newport News VA,72.4
2022-06,Oklahoma City OK,33.6
2022-06,Omaha NE,34.0
2022-06,Ontario,93.7
2022-06,Philadelphia PA,76.8
2022-06,Phoenix AZ,57.4
2022-06,Portland OR,63.0
2022-06,Raleigh-Durham (Fayetteville) NC,59.7
2022-06,Sacramento-Stockton-Modesto CA,43.0
2022-06,San Antonio TX,51.0
2022-06,San Diego CA,59.3
2022-06,San Francisco-Oakland-San Jose CA,77.8
2022-06,Seattle-Tacoma WA,77.2
2022-06,Tucson AZ,24.9
2022-06,Tulsa OK,41.4
2022-06,Washington DC (Hagerstown MD),67.8
2022-06,Wichita-Hutchinson KS,39.6
2022-07,Albuquerque-Santa Fe NM,30.5
2022-07,Atlanta GA,66.1
2022-07,Austin TX,54.8
2022-07,Bakersfield CA,29.0
2022-07,Baltimore MD,39.1
2022-07,Boston MA-Manchester NH,70.7
2022-07,Charlotte NC,59.1
2022-07,Chicago IL,85.1
2022-07,Cincinnati OH,77.2
2022-07,Cincinnati OH,87.0
2022-07,Colorado Springs-Pueblo CO,38.5
2022-07,Columbus OH,85.3
2022-07,Dallas-Ft. Worth TX,74.0
2022-07,Denver CO,70.1
2022-07,Detroit MI,58.7
2022-07,El Paso TX,35.0
2022-07,Fresno-Visalia CA,24.4
2022-07,Houston TX,77.0
2022-07,Jacksonville FL,28.2
2022-07,Kansas City MO,45.6
2022-07,Las Vegas NV,60.1
2022-07,Los Angeles CA,65.3
2022-07,Louisville KY,33.5
2022-07,Memphis TN,62.8
2022-07,Miami-Ft. Lauderdale FL,69.5
2022-07,Milwaukee WI,62.8
2022-07,Minneapolis-St. Paul MN,74.8
2022-07,Nashville TN,59.0
2022-07,New Orleans LA,67.2
2022-07,New Orleans LA,60.0
2022-07,New York NY,87.6
2022-07,Norfolk-Portsmouth-Newport News VA,75.2
2022-07,Oklahoma City OK,23.5
2022-07,Omaha NE,34.6
2022-07,Ontario,70.5
2022-07,Philadelphia PA,64.7
2022-07,Phoenix AZ,81.3
2022-07,Portland OR,56.3
2022-07,Raleigh-Durham (Fayetteville) NC,56.7
2022-07,Sacramento-Stockton-Modesto CA,47.2
2022-07,San Antonio TX,52.2
2022-07,San Diego CA,48.9
2022-07,San Francisco-Oakland-San Jose CA,76.7
2022-07,Seattle-Tacoma WA,88.6
2022-07,Tucson AZ,29.7
2022-07,Tulsa OK,33.0
2022-07,Washington DC (Hagerstown MD),72.4
2022-07,Wichita-Hutchinson KS,37.2
2022-08,Albuquerque-Santa Fe NM,44.8
2022-08,Atlanta GA,53.8
2022-08,Austin TX,72.7
2022-08,Bakersfield CA,33.3
2022-08,Baltimore MD,41.6
2022-08,Boston MA-Manchester NH,63.8
2022-08,Charlotte NC,33.1
2022-08,Chicago IL,97.5
2022-08,Cincinnati OH,72.9
2022-08,Cincinnati OH,60.0
2022-08,Colorado Springs-Pueblo CO,27.8
2022-08,Columbus OH,55.7
2022-08,Dallas-Ft. Worth TX,86.7
2022-08,Denver CO,78.0
2022-08,Detroit MI,91.5
2022-08,El Paso TX,27.6
2022-08,Fresno-Visalia CA,33.9
2022-08,Houston TX,95.0
2022-08,Jacksonville FL,23.1
2022-08,Kansas City MO,61.3
2022-08,Las Vegas NV,65.2
2022-08,Los Angeles CA,63.6
2022-08,Louisville KY,46.8
2022-08,Memphis TN,57.0
2022-08,Miami-Ft. Lauderdale FL,39.0
2022-08,Milwaukee WI,50.4
2022-08,Minneapolis-St. Paul MN,56.9
2022-08,Nashville TN,52.6
2022-08,New Orleans LA,46.6
2022-08,New Orleans LA,48.0
2022-08,New York NY,80.2
2022-08,Norfolk-Portsmouth-Newport News VA,54.3
2022-08,Oklahoma City OK,31.4
2022-08,Omaha NE,41.0
2022-08,Ontario,68.0
2022-08,Philadelphia PA,98.8
2022-08,Phoenix AZ,58.2
2022-08,Portland OR,73.3
2022-08,Raleigh-Durham (Fayetteville) NC,80.4
2022-08,Sacramento-Stockton-Modesto CA,61.0
2022-08,San Antonio TX,70.4
2022-08,San Diego CA,43.0
2022-08,San Francisco-Oakland-San Jose CA,80.9
2022-08,Seattle-Tacoma WA,70.2
2022-08,Tucson AZ,36.0
2022-08,Tulsa OK,29.4
2022-08,Washington DC (Hagerstown MD),62.3
2022-08,Wichita-Hutchinson KS,32.0
2022-09,Albuquerque-Santa Fe NM,37.1
2022-09,Atlanta GA,75.7
2022-09,Austin TX,49.7
2022-09,Bakersfield CA,25.3
2022-09,Baltimore MD,52.8
2022-09,Boston MA-Manchester NH,43.0
2022-09,Charlotte NC,72.2
2022-09,Chicago IL,72.3
2022-09,Cincinnati OH,81.8
2022-09,Cincinnati OH,82.0
2022-09,Colorado Springs-Pueblo CO,40.3
2022-09,Columbus OH,52.4
2022-09,Dallas-Ft. Worth TX,81.9
2022-09,Denver CO,73.5
2022-09,Detroit MI,84.0
2022-09,El Paso TX,37.9
2022-09,Fresno-Visalia CA,26.5
2022-09,Houston TX,85.8
2022-09,Jacksonville FL,44.9
2022-09,Kansas City MO,39.7
2022-09,Las Vegas NV,46.3
2022-09,Los Angeles CA,56.0
2022-09,Louisville KY,41.0
2022-09,Memphis TN,46.9
2022-09,Miami-Ft. Lauderdale FL,51.4
2022-09,Milwaukee WI,48.9
2022-09,Minneapolis-St. Paul MN,42.2
2022-09,Nashville TN,67.4
2022-09,New Orleans LA,46.5
2022-09,New Orleans LA,53.0
2022-09,New York NY,71.8
2022-09,Norfolk-Portsmouth-Newport News VA,25.3
2022-09,Oklahoma City OK,27.9
2022-09,Omaha NE,47.8
2022-09,Ontario,67.6
2022-09,Philadelphia PA,61.6
2022-09,Phoenix AZ,65.8
2022-09,Portland OR,61.1
2022-09,Raleigh-Durham (Fayetteville) NC,39.7
2022-09,Sacramento-Stockton-Modesto CA,57.6
2022-09,San Antonio TX,41.2
2022-09,San Diego CA,60.7
2022-09,San Francisco-Oakland-San Jose CA,73.8
2022-09,Seattle-Tacoma WA,78.1
2022-09,Tucson AZ,36.6
2022-09,Tulsa OK,37.6
2022-09,Washington DC (Hagerstown MD),63.7
2022-09,Wichita-Hutchinson KS,32.0
2022-10,Albuquerque-Santa Fe NM,39.7
2022-10,Atlanta GA,62.5
2022-10,Austin TX,60.1
2022-10,Bakersfield CA,26.6
2022-10,Baltimore MD,44.9
2022-10,Boston MA-Manchester NH,53.1
2022-10,Charlotte NC,53.2
2022-10,Chicago IL,92.6
2022-10,Cincinnati OH,77.1
2022-10,Cincinnati OH,77.8
2022-10,Colorado Springs-Pueblo CO,21.6
2022-10,Columbus OH,59.2
2022-10,Dallas-Ft. Worth TX,70.8
2022-10,Denver CO,86.9
2022-10,Detroit MI,83.0
2022-10,El Paso TX,31.8
2022-10,Fresno-Visalia CA,39.4
2022-10,Houston TX,81.3
2022-10,Jacksonville FL,24.4
2022-10,Kansas City MO,48.4
2022-10,Las Vegas NV,66.8
2022-10,Los Angeles CA,65.6
2022-10,Louisville KY,47.1
2022-10,Memphis TN,63.1
2022-10,Miami-Ft. Lauderdale FL,66.5
2022-10,Milwaukee WI,44.8
2022-10,Minneapolis-St. Paul MN,72.3
2022-10,Nashville TN,51.5
2022-10,New Orleans LA,48.3
2022-10,New Orleans LA,51.0
2022-10,New York NY,75.7
2022-10,Norfolk-Portsmouth-Newport News VA,54.7
2022-10,Oklahoma City OK,25.6
2022-10,Omaha NE,31.4
2022-10,Ontario,87.4
2022-10,Philadelphia PA,77.9
2022-10,Phoenix AZ,55.3
2022-10,Portland OR,55.2
2022-10,Raleigh-Durham (Fayetteville) NC,34.6
2022-10,Sacramento-Stockton-Modesto CA,59.6
2022-10,San Antonio TX,63.6
2022-10,San Diego CA,51.1
2022-10,San Francisco-Oakland-San Jose CA,74.9
2022-10,Seattle-Tacoma WA,86.3
2022-10,Tucson AZ,31.1
2022-10,Tulsa OK,26.3
2022-10,Washington DC (Hagerstown MD),53.7
2022-10,Wichita-Hutchinson KS,29.7
2022-11,Albuquerque-Santa Fe NM,30.2
2022-11,Atlanta GA,70.2
2022-11,Austin TX,52.0
2022-11,Bakersfield CA,23.8
2022-11,Baltimore MD,56.6
2022-11,Boston MA-Manchester NH,39.0
2022-11,Charlotte NC,61.3
2022-11,Chicago IL,71.5
2022-11,Cincinnati OH,40.9
2022-11,Colorado Springs-Pueblo CO,29.9
2022-11,Columbus OH,59.3
2022-11,Dallas-Ft. Worth TX,82.8
2022-11,Denver CO,75.0
2022-11,Detroit MI,57.0
2022-11,El Paso TX,20.4
2022-11,Fresno-Visalia CA,42.0
2022-11,Houston TX,61.4
2022-11,Jacksonville FL,28.6
2022-11,Kansas City MO,39.5
2022-11,Las Vegas NV,68.3
2022-11,Los Angeles CA,64.0
2022-11,Louisville KY,34.8
2022-11,Memphis TN,48.4
2022-11,Miami-Ft. Lauderdale FL,61.3
2022-11,Milwaukee WI,56.6
2022-11,Minneapolis-St. Paul MN,58.1
2022-11,Nashville TN,63.2
2022-11,New Orleans LA,54.7
2022-11,New Orleans LA,61.0
2022-11,New York NY,69.6
2022-11,Norfolk-Portsmouth-Newport News VA,51.1
2022-11,Oklahoma City OK,59.1
2022-11,Omaha NE,39.7
2022-11,Ontario,67.4
2022-11,Philadelphia PA,77.2
2022-11,Phoenix AZ,46.9
2022-11,Portland OR,55.4
2022-11,Raleigh-Durham (Fayetteville) NC,49.3
2022-11,Sacramento-Stockton-Modesto CA,61.3
2022-11,San Antonio TX,40.5
2022-11,San Diego CA,49.3
2022-11,San Francisco-Oakland-San Jose CA,80.8
2022-11,Seattle-Tacoma WA,78.4
2022-11,Tucson AZ,35.8
2022-11,Tulsa OK,18.4
2022-11,Washington DC (Hagerstown MD),58.2
2022-11,Wichita-Hutchinson KS,24.9
2022-12,Albuquerque-Santa Fe NM,37.8
2022-12,Atlanta GA,85.0
2022-12,Austin TX,74.8
2022-12,Bakersfield CA,41.1
2022-12,Baltimore MD,66.1
2022-12,Boston MA-Manchester NH,50.3
2022-12,Charlotte NC,44.9
2022-12,Chicago IL,94.6
2022-12,Cincinnati OH,91.4
2022-12,Cincinnati OH,89.0
2022-12,Colorado Springs-Pueblo CO,30.8
2022-12,Columbus OH,93.8
2022-12,Dallas-Ft. Worth TX,76.4
2022-12,Denver CO,70.1
2022-12,Detroit MI,59.7
2022-12,El Paso TX,44.4
2022-12,Fresno-Visalia CA,33.2
2022-12,Houston TX,72.6
2022-12,Jacksonville FL,39.3
2022-12,Kansas City MO,71.4
2022-12,Las Vegas NV,53.6
2022-12,Los Angeles CA,54.8
2022-12,Louisville KY,29.2
2022-12,Memphis TN,71.5
2022-12,Miami-Ft. Lauderdale FL,56.6
2022-12,Milwaukee WI,45.3
2022-12,Minneapolis-St. Paul MN,58.0
2022-12,Nashville TN,33.8
2022-12,New Orleans LA,58.0
2022-12,New Orleans LA,63.0
2022-12,New York NY,69.8
2022-12,Norfolk-Portsmouth-Newport News VA,61.4
2022-12,Oklahoma City OK,31.2
2022-12,Omaha NE,50.5
2022-12,Ontario,92.9
2022-12,Philadelphia PA,80.6
2022-12,Phoenix AZ,62.9
2022-12,Portland OR,50.1
2022-12,Raleigh-Durham (Fayetteville) NC,65.5
2022-12,Sacramento-Stockton-Modesto CA,62.1
2022-12,San Antonio TX,76.9
2022-12,San Diego CA,49.7
2022-12,San Francisco-Oakland-San Jose CA,62.0
2022-12,Seattle-Tacoma WA,84.8
2022-12,Tucson AZ,33.0
2022-12,Tulsa OK,20.3
2022-12,Washington DC (Hagerstown MD),99.7
2022-12,Wichita-Hutchinson KS,35.1
