State,Year,Percentage of Foreign Born,Percentage of Moved In,Percentage of Renter,Mobility Index,Concentrated Disadvantaged Index,Percentage of Unemployed,Percentage of Single Parent Households,Percentage of Poverty,Heterogeneity Index,Percentage of Young Males,Percentage of Dropped Out,Percentage of Divorced,Population (logged),Less than High School,Percentage of White,Percentage of Black,Percentage of Hispanic,Percentage of Native Americans,Percentage of Internet Subscription per Household,Average Vehicle HH,Population
Iowa,2014,4.93449573657457,15.225999846803767,25.334601815310997,-0.6833431509943051,-2.7211613042192826,2.3707438964496452,9.194012586681445,5.105395132065107,0.2360325373103649,7.2543887824310955,3.3104663957065545,8.55790849807829,14.94920874114158,5.226373182162551,87.14892798039088,3.092954711202571,5.505634467350213,0.2683186970853451,75.33603281913149,2.793279101968552,3107126
Iowa,2015,4.760749307195911,15.466185046315516,25.602332213685525,-0.5546874410747897,-2.73987757622396,2.2224790238096688,9.292771531586716,4.897658767415328,0.24245484336874767,7.3206912259327215,3.397070674623972,8.713149816943504,14.954592459073366,5.495216074527377,86.76583333840179,3.3403128590264926,5.5801419956278995,0.28230746256521094,76.00479134479163,1.9485010611353466,3123899
Iowa,2016,5.110197394130781,15.143620124841572,25.788490292350797,-0.6275007099689278,-2.8575713197265973,2.112774680008537,9.299785565239132,4.818291381261158,0.24839864277549284,7.187338600622134,4.017159816128888,8.698555169517398,14.958041800619263,5.490107005694019,86.4040274438358,3.4613277919081713,5.712265922053611,0.27632690027380674,80.39308231538257,1.958124320876458,3134693
Iowa,2017,5.300169023791441,14.375573598464703,24.49713276267273,-1.118635770071201,-3.5153693173147706,1.9133989104529945,8.929745806179696,4.232428499290261,0.25736829913332726,7.3494354694375925,4.230125012479062,8.624854603617434,14.961550495697955,5.264469622288888,85.87088896596032,3.305739147683942,5.904738229290611,0.24875139515359168,82.38718732728697,1.976760330972839,3145711
Iowa,2018,5.549079652550818,14.462485088612848,24.85075939159956,-1.0250479756586874,-2.9898104906472085,1.9237709294091367,9.74900482934805,4.520247690423252,0.2649345227657115,7.184175631981421,4.210224989402873,8.889008584840049,14.964861904125705,5.153407083641595,85.40745117857385,3.5981236603514732,6.066673109125214,0.3076537991758934,84.02245335297778,1.9840693823434996,3156145
Iowa,2019,5.6343916299796835,13.782800381608014,25.575153641599073,-1.117630907761119,-3.2655077162553807,1.9764062287049098,9.311532363129563,4.577846383798897,0.2698470438070528,7.0600652283467555,3.7076654894503305,8.876475006893667,14.964521240716078,4.959668089772968,85.0916461441426,3.989166642895403,6.259195517056673,0.309692019511453,84.43118936064592,1.9780729183256023,3155070
Iowa,2020,5.598814112735807,13.535001486435801,24.13040369589405,-1.4644276466605541,-3.5039414400108573,2.028796714537844,9.135372235084747,4.388441865566423,0.2911390610455552,7.339668769419312,3.8721630893736805,8.711956337673058,14.975166517890237,4.66141877475041,83.82149473977339,3.6985282403986908,6.542732206987126,0.20295806996659596,86.53392526456048,1.9775380792302224,3188836
Iowa,2021,5.418625721443158,13.599882746402454,23.104188778292052,-1.630914128779652,-3.9371793919695537,1.8852649746529917,8.78861209088735,4.314757698580586,0.30530589668673547,7.421488788720855,2.9116792466353867,8.51497880259148,14.97649621301315,4.467975894113487,82.97539772739728,3.514162975610688,6.648942916852355,0.2677666290123107,88.61524360095258,1.9725967671613351,3193079
Iowa,2022,5.959255957709333,12.70600968531022,22.808315031602707,-1.9813928804684577,-4.407385653217324,1.5741519260794428,8.568552098242293,4.173869924379881,0.3077929556240976,7.331815453565784,3.083036067069947,8.359805618904696,14.978822917220139,4.406194374221415,82.80255971144662,3.718274266313849,6.812149412110606,0.16703551332487845,89.8572120856953,1.975306443675596,3200517
Kansas,2011,6.922693277255316,16.07498228986939,28.5408593784284,0.18540772644898074,0.06474044261946654,3.886859953789968,10.326213736757978,6.051006579825198,0.38079027768772034,7.488302955031941,4.082958035421648,9.223617129614473,14.870253853612324,6.433531459252071,77.71414281922989,5.707224549131769,10.685495246301421,0.6954143125717895,73.97392004697731,1.9437651413586807,2871238
