DMA,Year,Percentage of Foreign Born,Percentage of Moved In,Percentage of Renter,Mobility Index,Concentrated Disadvantaged Index,Percentage of Unemployed,Percentage of Single Parent Households,Percentage of Poverty,Heterogeneity Index,Percentage of Young Males,Percentage of Dropped Out,Percentage of Divorced,Population (logged),Less than High School,Percentage of White,Percentage of Black,Percentage of Hispanic,Percentage of Native Americans,Percentage of Internet Subscription per Household,Average Vehicle HH,Population
Abilene-Sweetwater TX,2011,5.0,16.8,28.8,0.5,0.7,2.6,10.1,8.2,0.5,8.3,6.0,10.5,12.6,11.7,68.7,5.8,22.7,0.3,67.3,1.8,311466
Abilene-Sweetwater TX,2012,5.0,18.9,30.8,1.5,1.6,2.7,10.7,9.1,0.5,8.3,6.0,9.4,12.7,12.0,68.3,5.8,23.3,0.3,67.3,1.8,312205
Abilene-Sweetwater TX,2013,4.8,19.5,28.7,1.4,1.1,2.4,10.9,8.6,0.5,8.6,5.9,9.1,12.7,11.7,68.0,5.6,23.7,0.4,67.3,1.8,312568
Abilene-Sweetwater TX,2014,4.6,19.1,30.8,1.6,1.3,2.4,11.4,9.3,0.5,8.5,6.4,9.6,12.7,11.2,67.3,5.7,24.1,0.5,74.2,2.2,313369
Abilene-Sweetwater TX,2015,5.1,16.8,30.8,0.8,0.3,2.0,11.6,8.1,0.5,8.4,6.6,9.8,12.7,10.2,66.6,6.0,24.5,0.3,66.8,1.8,313896
Abilene-Sweetwater TX,2016,5.3,16.7,31.0,0.8,-0.5,1.9,10.0,7.9,0.5,8.3,6.6,9.5,12.7,10.4,66.1,6.1,24.7,0.4,74.7,1.8,314284
Abilene-Sweetwater TX,2017,6.1,17.4,27.8,0.5,0.3,1.9,11.2,8.2,0.5,8.2,6.2,9.9,12.7,10.6,65.6,6.2,25.1,0.2,75.8,1.8,313013
Abilene-Sweetwater TX,2018,5.3,18.3,29.8,1.2,-0.3,1.9,10.9,7.5,0.5,8.4,6.8,10.2,12.7,9.9,64.9,6.1,25.4,0.4,82.9,1.8,314362
Abilene-Sweetwater TX,2019,5.3,16.0,29.5,0.3,-2.1,1.4,10.0,6.0,0.5,8.2,6.6,9.3,12.7,9.0,64.9,6.1,25.9,0.3,84.8,1.8,314518
Abilene-Sweetwater TX,2020,5.7,17.4,28.7,0.6,-1.6,1.6,10.6,6.7,0.5,8.4,7.1,9.6,12.7,8.3,63.3,5.8,26.5,0.2,87.4,1.9,316926
Abilene-Sweetwater TX,2021,5.2,14.9,28.4,-0.3,-0.4,1.7,11.4,8.0,0.5,8.1,6.7,9.4,12.7,9.4,63.7,5.6,26.5,0.1,89.7,1.9,317217
Abilene-Sweetwater TX,2022,6.2,17.0,29.5,0.6,-0.9,1.7,10.7,8.2,0.5,8.3,7.1,9.7,12.7,8.4,63.0,6.1,26.7,0.2,92.3,1.9,319060
Albany GA,2011,4.0,14.4,35.7,0.8,8.9,5.1,15.7,13.5,0.6,7.6,11.7,9.2,12.9,16.0,51.5,38.0,6.2,0.1,60.4,1.7,419543
Albany GA,2012,4.0,14.8,36.2,1.1,9.8,5.8,15.8,14.4,0.6,7.5,10.5,9.4,12.9,15.6,51.2,37.8,6.6,0.1,60.4,1.7,420273
Albany GA,2013,4.4,14.5,36.0,0.9,9.9,5.6,16.9,14.6,0.6,7.6,10.1,9.4,12.9,15.0,51.3,37.9,6.7,0.1,60.4,1.7,418894
Albany GA,2014,4.3,14.4,37.2,1.1,9.0,5.3,15.5,14.7,0.6,7.4,8.7,9.2,12.9,14.7,51.2,37.8,6.8,0.1,66.7,1.9,417974
Albany GA,2015,4.0,13.9,37.1,0.9,8.1,4.6,16.0,14.4,0.6,7.2,8.2,9.2,12.9,14.0,51.1,38.0,7.0,0.1,66.9,1.7,416107
Albany GA,2016,4.2,13.8,38.2,1.1,7.4,4.2,15.3,15.0,0.6,7.1,7.3,8.8,12.9,13.1,51.2,37.9,7.2,0.1,71.6,1.7,413816
Albany GA,2017,4.4,14.5,37.9,1.3,7.2,3.9,16.3,14.1,0.6,7.2,7.0,9.0,12.9,12.7,51.1,38.0,7.3,0.2,75.3,1.7,412410
Albany GA,2018,4.2,14.9,39.7,1.7,6.7,3.5,16.2,13.5,0.6,7.3,6.8,9.3,12.9,13.5,50.7,38.0,7.2,0.2,76.4,1.7,412936
Albany GA,2019,4.3,13.8,39.3,1.3,6.2,3.5,15.5,13.1,0.6,7.3,6.0,9.6,12.9,13.0,50.9,38.3,7.5,0.2,72.9,1.7,409055
Albany GA,2020,4.4,11.6,37.3,0.1,5.0,2.9,16.3,11.9,0.6,7.2,6.3,10.4,12.9,11.6,50.4,38.1,8.1,0.1,77.4,1.8,407437
Albany GA,2021,4.1,11.5,37.7,0.2,4.7,2.9,15.4,11.4,0.6,7.2,5.8,10.3,12.9,12.4,50.7,38.4,7.9,0.1,81.7,1.8,407733
Albany GA,2022,4.5,10.4,35.9,-0.5,5.3,2.9,16.7,12.7,0.6,7.2,6.3,10.5,12.9,11.0,50.6,38.3,8.1,0.1,84.5,1.8,405365
Albany-Schenectady-Troy NY,2011,5.3,12.7,27.4,-1.3,-0.8,4.3,9.5,5.1,0.3,7.5,4.6,8.1,14.1,6.5,85.7,5.3,4.3,0.2,77.9,1.7,1390886
Albany-Schenectady-Troy NY,2012,5.9,12.2,28.4,-1.2,-0.8,4.4,9.6,4.7,0.3,7.3,4.7,8.9,14.1,6.6,85.4,5.5,4.4,0.2,77.9,1.7,1393037
Albany-Schenectady-Troy NY,2013,6.1,12.9,28.5,-1.0,-0.8,4.2,9.5,5.4,0.3,7.3,4.6,8.7,14.1,6.5,84.9,5.5,4.6,0.2,77.9,1.7,1395094
Albany-Schenectady-Troy NY,2014,6.1,12.4,28.2,-1.2,-1.5,3.6,9.4,5.1,0.3,7.4,4.5,8.9,14.1,6.4,84.6,5.5,4.7,0.1,81.1,2.4,1394838
Albany-Schenectady-Troy NY,2015,6.3,12.5,28.1,-1.2,-2.1,3.1,9.2,4.9,0.3,7.3,4.5,8.8,14.1,6.5,84.0,5.4,4.8,0.1,80.6,1.7,1393870
Albany-Schenectady-Troy NY,2016,6.5,13.2,29.1,-0.8,-2.2,2.9,9.8,4.4,0.3,7.4,4.6,9.2,14.1,6.5,83.6,5.5,4.9,0.1,85.0,1.7,1391217
Albany-Schenectady-Troy NY,2017,6.9,13.4,27.8,-0.9,-2.7,2.8,9.3,4.1,0.3,7.2,4.2,9.6,14.1,6.3,83.2,5.8,5.0,0.1,86.2,1.7,1392834
Albany-Schenectady-Troy NY,2018,7.0,13.1,28.6,-0.9,-3.0,2.6,9.3,4.1,0.3,7.2,4.2,8.9,14.1,6.0,83.0,5.5,5.2,0.2,87.1,1.7,1388077
Albany-Schenectady-Troy NY,2019,7.1,12.6,28.1,-1.2,-3.0,2.1,10.0,4.5,0.3,6.8,4.2,9.0,14.1,6.1,82.8,5.5,5.3,0.1,87.6,1.7,1382112
Albany-Schenectady-Troy NY,2020,6.9,11.9,27.6,-1.5,-3.4,2.6,8.8,4.1,0.3,7.0,3.9,9.2,14.2,5.6,81.0,5.5,5.6,0.1,89.1,1.7,1412342
Albany-Schenectady-Troy NY,2021,6.6,11.6,26.8,-1.7,-3.1,3.0,8.4,4.2,0.3,6.6,4.1,9.0,14.2,5.8,80.7,5.7,5.6,0.1,90.6,1.7,1410181
Albany-Schenectady-Troy NY,2022,6.7,11.8,27.0,-1.6,-3.7,2.5,8.3,4.4,0.4,7.0,3.9,9.1,14.2,5.4,79.7,5.6,5.8,0.1,91.5,1.7,1414148
Albuquerque-Santa Fe NM,2011,8.8,14.2,28.6,-0.5,4.5,5.1,13.0,10.2,0.6,7.3,8.1,10.5,14.5,10.2,41.9,1.6,41.9,11.8,66.8,1.9,1892331
Albuquerque-Santa Fe NM,2012,8.2,13.8,29.4,-0.5,4.0,4.6,13.2,10.4,0.6,7.1,8.3,10.5,14.5,9.8,41.6,1.7,42.0,12.0,66.8,1.9,1898475
Albuquerque-Santa Fe NM,2013,8.7,13.6,29.4,-0.6,3.6,4.2,13.4,10.0,0.6,7.0,6.6,10.3,14.5,9.8,41.2,1.6,42.3,11.9,66.8,1.9,1899599
Albuquerque-Santa Fe NM,2014,8.6,13.2,30.4,-0.5,3.6,4.2,12.9,10.0,0.6,6.9,6.7,10.2,14.5,10.2,40.7,1.7,42.5,12.3,69.1,2.6,1901399
Albuquerque-Santa Fe NM,2015,8.4,14.2,29.6,-0.3,2.2,3.5,12.2,9.0,0.6,6.8,7.0,10.6,14.5,10.1,40.4,1.8,42.8,12.0,68.6,1.9,1901977
Albuquerque-Santa Fe NM,2016,8.2,13.5,29.3,-0.6,1.6,3.2,12.0,8.9,0.6,6.7,7.0,10.6,14.5,9.5,40.0,1.7,43.2,11.9,75.3,1.9,1899758
Albuquerque-Santa Fe NM,2017,8.0,12.3,28.6,-1.2,0.9,2.9,11.8,8.6,0.6,6.6,6.5,10.7,14.5,8.8,39.6,1.7,43.4,12.2,78.8,1.9,1905824
Albuquerque-Santa Fe NM,2018,8.1,12.6,30.2,-0.8,0.9,2.8,11.5,8.4,0.6,6.6,8.1,11.0,14.5,9.4,39.2,1.7,43.7,12.2,78.3,1.9,1912591
Albuquerque-Santa Fe NM,2019,8.4,11.9,29.0,-1.2,1.0,2.6,12.7,8.4,0.6,6.6,7.0,11.0,14.5,9.0,39.0,1.8,43.8,12.2,78.1,1.9,1914704
Albuquerque-Santa Fe NM,2020,8.1,12.0,27.2,-1.5,0.6,2.8,12.2,8.0,0.6,6.7,6.4,10.9,14.5,8.2,37.8,1.7,44.3,11.7,81.4,1.9,1920231
Albuquerque-Santa Fe NM,2021,7.9,12.2,26.5,-1.6,1.1,3.3,12.4,8.1,0.6,6.5,5.7,10.6,14.5,8.0,37.4,1.5,44.4,11.6,84.5,1.9,1922036
Albuquerque-Santa Fe NM,2022,8.3,11.3,25.2,-2.1,-0.4,2.3,11.7,7.3,0.6,6.8,7.3,10.9,14.5,8.1,37.2,1.7,44.5,11.5,86.2,1.9,1920815
Alexandria LA,2011,2.5,14.8,32.1,0.3,5.3,4.0,13.4,11.1,0.5,7.3,9.5,10.0,12.4,13.8,64.7,25.5,3.9,0.7,69.5,1.7,246949
Alexandria LA,2012,2.1,14.8,33.7,0.6,4.6,3.6,14.5,10.8,0.5,7.6,9.9,10.1,12.4,11.8,64.7,25.5,4.0,0.7,69.5,1.7,247889
Alexandria LA,2013,2.8,15.0,33.4,0.6,3.7,3.9,13.2,9.5,0.5,7.7,9.5,9.7,12.4,11.7,64.5,25.3,4.2,0.7,69.5,1.7,249111
Alexandria LA,2014,3.2,12.1,35.9,0.1,3.6,3.5,13.3,10.2,0.5,7.6,9.2,9.3,12.4,11.3,64.3,25.4,4.3,0.7,68.0,2.2,249299
Alexandria LA,2015,2.5,12.1,38.4,0.5,4.9,3.2,15.5,11.4,0.5,7.7,8.5,9.7,12.4,11.7,64.3,25.4,4.6,0.7,70.6,1.7,248368
Alexandria LA,2016,2.6,14.0,36.3,0.8,3.5,3.0,14.6,10.3,0.5,7.6,8.5,9.9,12.4,10.7,64.2,25.5,4.6,0.7,75.8,1.7,248149
Alexandria LA,2017,2.7,13.6,35.1,0.5,3.5,3.2,13.5,10.6,0.5,7.7,7.6,9.6,12.4,11.1,64.2,25.6,4.6,0.8,78.6,1.7,246954
Alexandria LA,2018,2.2,16.4,36.2,1.6,2.8,3.1,13.6,9.9,0.5,7.5,7.3,9.5,12.4,9.8,64.4,25.7,4.6,0.6,84.3,1.7,244799
Alexandria LA,2019,2.9,15.9,35.8,1.4,3.3,2.2,16.2,10.1,0.5,7.5,6.5,10.7,12.4,10.4,64.6,25.5,4.6,0.6,80.8,1.7,242303
Alexandria LA,2020,2.5,13.7,32.2,-0.0,2.6,2.5,14.6,10.0,0.5,7.1,6.2,10.4,12.4,9.7,64.4,25.0,4.7,0.6,83.6,1.7,239702
Alexandria LA,2021,2.9,13.1,33.5,-0.0,2.9,3.0,14.2,10.2,0.5,7.4,5.7,10.0,12.4,9.7,63.8,25.1,4.7,0.6,86.4,1.7,239834
Alexandria LA,2022,2.8,13.2,29.9,-0.6,1.6,2.1,13.0,10.1,0.5,7.6,6.2,10.1,12.4,9.8,64.0,25.2,4.9,0.5,88.3,1.7,237355
Alpena MI,2011,1.7,10.9,15.7,-4.0,1.5,5.5,7.9,7.9,0.1,5.6,7.4,10.8,10.6,9.3,96.8,0.5,1.1,0.4,,1.8,40899
Alpena MI,2012,1.7,11.6,16.3,-3.6,1.0,5.2,7.6,7.8,0.1,5.5,9.9,10.7,10.6,9.0,96.7,0.4,1.1,0.4,,1.7,40545
Alpena MI,2013,1.5,12.3,17.5,-3.2,0.7,5.2,6.9,7.8,0.1,5.5,8.6,10.6,10.6,9.2,96.5,0.4,1.2,0.5,,1.7,40184
Alpena MI,2014,1.4,12.2,17.9,-3.1,0.4,4.8,7.3,7.9,0.1,5.5,8.0,10.9,10.6,8.6,96.3,0.4,1.2,0.4,,1.7,39899
Alpena MI,2015,1.4,12.7,18.8,-2.8,0.1,4.3,8.1,7.9,0.1,5.4,4.6,11.1,10.6,8.0,96.2,0.4,1.3,0.5,,1.7,39618
Alpena MI,2016,1.3,12.6,18.6,-2.9,-0.8,3.7,8.2,7.3,0.1,5.4,5.7,11.4,10.6,7.6,96.1,0.4,1.3,0.4,,1.7,39390
Alpena MI,2017,1.4,11.9,18.2,-3.2,-2.1,3.1,7.4,6.2,0.1,5.4,4.7,11.6,10.6,7.3,96.0,0.5,1.3,0.5,,1.7,39143
Alpena MI,2018,1.4,12.1,18.0,-3.1,-2.2,2.9,7.8,6.4,0.1,5.3,4.7,12.5,10.6,7.0,95.9,0.5,1.4,0.5,,1.7,38976
Alpena MI,2019,1.2,12.1,17.5,-3.2,-2.3,2.8,8.2,6.2,0.1,5.1,6.1,13.2,10.6,6.8,95.7,0.5,1.4,0.4,,1.8,38873
Alpena MI,2020,1.5,11.4,16.0,-3.8,-1.9,3.1,9.0,6.4,0.1,5.1,8.0,14.3,10.6,5.9,94.1,0.7,1.6,0.2,,1.7,39149
Alpena MI,2021,1.5,11.6,16.5,-3.6,-2.1,3.1,8.7,6.2,0.1,5.1,6.5,14.5,10.6,6.1,94.4,0.6,1.6,0.2,,1.8,39051
Alpena MI,2022,1.5,11.4,16.0,-3.8,-1.9,3.1,9.0,6.4,0.1,5.1,8.0,14.3,10.6,5.9,94.1,0.7,1.6,0.2,,1.7,39149
Amarillo TX,2011,10.1,17.2,29.8,0.8,2.1,2.8,12.1,8.7,0.5,7.7,8.0,8.8,13.2,12.0,59.4,4.3,32.3,0.5,71.9,1.9,540866
Amarillo TX,2012,10.6,17.4,31.9,1.2,2.2,2.5,12.1,8.8,0.5,7.7,7.6,9.2,13.2,12.9,58.7,4.0,33.0,0.6,71.9,1.9,544862
Amarillo TX,2013,10.8,17.8,31.8,1.4,2.2,2.7,12.2,8.7,0.5,7.6,7.7,8.7,13.2,12.4,57.9,4.1,33.6,0.5,71.9,1.9,548183
Amarillo TX,2014,11.3,16.8,31.7,1.0,1.7,2.3,12.3,8.5,0.6,7.6,7.6,9.3,13.2,11.9,57.2,4.2,34.1,0.5,72.7,2.3,551446
Amarillo TX,2015,11.1,17.1,32.0,1.1,1.4,2.1,11.8,8.7,0.6,7.6,7.0,9.4,13.2,12.1,56.4,4.0,34.6,0.5,74.6,1.9,553723
Amarillo TX,2016,12.1,18.1,32.9,1.6,1.2,2.2,11.4,8.4,0.6,7.6,6.7,8.7,13.2,12.2,55.9,4.5,35.0,0.5,80.4,1.9,553514
Amarillo TX,2017,12.1,16.5,32.4,1.0,0.4,2.1,10.5,7.9,0.6,7.6,6.3,8.9,13.2,11.8,55.2,4.5,35.4,0.6,82.0,1.9,553171
Amarillo TX,2018,12.2,16.4,31.6,0.8,0.7,2.1,11.7,8.1,0.6,7.6,6.2,8.8,13.2,11.1,54.6,4.5,36.0,0.6,85.0,1.9,552337
Amarillo TX,2019,11.7,15.4,31.1,0.4,0.9,2.0,11.7,8.6,0.6,7.4,6.5,9.2,13.2,11.4,54.2,4.5,36.4,0.6,89.0,1.9,548280
Amarillo TX,2020,11.6,13.9,30.5,-0.3,0.3,1.8,11.8,7.8,0.6,7.5,5.6,9.2,13.2,10.9,52.3,4.7,37.7,0.5,88.9,1.9,544887
Amarillo TX,2021,11.6,13.0,30.9,-0.5,0.4,2.0,11.2,7.5,0.6,7.7,5.1,9.4,13.2,11.6,52.3,4.7,37.7,0.4,88.9,1.9,548244
Amarillo TX,2022,11.1,12.5,29.7,-0.9,-0.2,1.8,11.0,7.7,0.6,7.6,5.6,9.4,13.2,10.5,51.4,4.5,38.1,0.4,89.6,1.9,547278
Anchorage AK,2011,7.5,18.4,32.9,1.8,-0.4,4.4,12.6,3.8,0.5,7.6,6.8,10.4,13.0,4.9,68.8,3.6,6.4,6.0,84.6,1.9,442234
Anchorage AK,2012,7.8,17.3,32.3,1.2,-0.7,4.0,12.3,4.5,0.5,8.2,7.0,9.8,13.0,4.7,68.0,4.1,6.7,6.3,84.6,1.9,448009
Anchorage AK,2013,7.1,18.8,32.9,1.9,-2.4,4.0,9.7,2.8,0.5,8.2,6.8,8.5,13.0,4.8,67.5,4.2,7.1,6.6,84.6,2.0,452305
Anchorage AK,2014,8.2,17.9,32.8,1.6,-2.0,3.5,10.9,4.5,0.5,8.2,3.0,9.8,13.0,4.3,66.7,3.8,7.3,6.5,87.0,2.7,455579
Anchorage AK,2015,8.2,20.0,31.9,2.1,-1.2,3.8,12.5,4.3,0.5,8.4,3.6,9.5,13.0,4.1,66.2,4.1,7.5,6.1,85.1,1.9,457011
Anchorage AK,2016,7.8,18.8,31.0,1.6,-2.5,3.8,10.3,3.2,0.5,7.6,3.2,9.3,13.0,4.0,66.1,3.5,7.4,6.8,90.7,2.0,460194
Anchorage AK,2017,8.7,18.9,32.9,1.9,-1.5,3.5,11.5,4.4,0.6,7.3,4.6,10.3,13.0,5.1,65.6,3.5,7.5,6.6,89.9,1.9,458849
Anchorage AK,2018,8.7,16.6,28.0,0.3,-3.0,3.2,9.4,4.5,0.6,7.2,3.5,9.4,13.0,4.0,65.2,3.8,7.6,7.2,90.9,2.0,457368
Anchorage AK,2019,8.2,16.0,30.8,0.5,-3.5,2.9,9.3,4.3,0.6,7.2,3.6,9.4,13.0,3.6,65.1,3.7,7.7,8.3,91.9,1.9,454781
Anchorage AK,2020,8.2,15.4,28.3,-0.1,-3.2,2.9,9.9,4.3,0.6,7.2,4.0,9.5,13.0,3.9,63.3,3.6,8.0,6.8,93.0,2.0,458570
Anchorage AK,2021,8.2,14.5,27.5,-0.6,-2.7,3.3,10.0,4.2,0.6,7.1,3.5,9.9,13.0,3.9,62.9,3.4,8.0,6.4,94.0,1.9,457518
Anchorage AK,2022,7.7,14.3,26.9,-0.8,-2.8,2.4,10.9,4.8,0.6,6.8,3.6,9.8,13.0,4.2,62.4,3.3,8.2,6.9,95.0,2.0,459705
Atlanta GA,2011,12.3,16.4,33.5,1.1,4.7,6.3,12.9,8.9,0.6,7.2,5.3,8.7,15.7,9.1,54.7,30.3,11.3,0.2,78.9,1.8,6377383
Atlanta GA,2012,12.3,16.0,33.7,1.1,4.0,5.6,12.8,9.2,0.6,7.1,5.0,8.7,15.7,8.8,54.1,30.5,11.2,0.1,78.9,1.8,6469452
Atlanta GA,2013,12.4,16.2,34.8,1.3,3.2,5.1,12.6,8.6,0.6,7.1,5.0,9.0,15.7,8.4,53.5,30.3,11.1,0.2,78.9,1.8,6539744
Atlanta GA,2014,12.5,15.3,35.5,1.1,2.3,4.1,13.0,8.3,0.6,7.0,4.7,8.8,15.7,8.5,52.9,30.5,11.1,0.1,80.1,2.6,6634801
Atlanta GA,2015,12.9,15.5,36.3,1.3,1.1,3.6,12.0,7.8,0.6,7.1,4.3,8.6,15.7,8.2,52.1,30.6,11.0,0.1,81.0,1.8,6738762
Atlanta GA,2016,12.9,15.8,36.3,1.5,0.3,2.9,12.3,7.0,0.6,7.0,5.1,8.8,15.7,8.1,51.3,30.7,11.0,0.1,85.7,1.9,6823858
Atlanta GA,2017,13.1,14.3,34.2,0.5,-0.4,2.7,11.8,6.6,0.6,6.9,4.2,8.6,15.8,7.6,50.5,30.8,11.1,0.1,87.5,1.9,6932962
Atlanta GA,2018,13.0,13.8,33.2,0.2,-1.1,2.2,11.7,6.3,0.6,7.0,4.3,8.6,15.8,7.3,50.0,30.8,11.2,0.1,88.5,1.9,7008733
Atlanta GA,2019,13.2,13.9,32.3,0.1,-1.7,2.2,10.9,5.7,0.6,6.8,3.8,8.7,15.8,7.3,49.5,31.0,11.3,0.2,89.6,1.9,7090351
Atlanta GA,2020,13.3,13.5,31.2,-0.3,-1.4,2.6,11.3,5.6,0.7,7.0,4.2,8.6,15.8,6.7,48.6,30.5,11.4,0.1,91.5,1.9,7191314
Atlanta GA,2021,12.9,13.4,29.4,-0.7,-1.3,2.7,10.9,6.0,0.7,6.8,4.0,8.7,15.8,6.8,48.0,29.8,11.5,0.2,93.4,1.9,7230965
Atlanta GA,2022,13.6,12.9,30.0,-0.7,-2.0,2.1,11.2,5.4,0.7,7.0,4.4,8.7,15.8,6.4,47.3,30.3,11.7,0.1,94.1,1.9,7325464
Augusta GA,2011,3.7,15.7,31.1,0.5,5.3,4.6,14.3,11.5,0.6,7.3,6.1,9.1,13.5,11.1,56.8,38.6,4.9,0.2,70.5,1.8,698046
Augusta GA,2012,3.7,13.7,31.6,-0.2,5.4,4.9,13.8,11.6,0.6,7.2,8.4,8.9,13.5,10.7,56.1,38.5,4.9,0.2,70.5,1.8,704594
Augusta GA,2013,3.3,12.8,30.4,-0.7,6.6,5.7,14.5,11.8,0.6,7.3,7.9,9.5,13.5,11.1,55.6,38.1,5.0,0.1,70.5,1.8,708463
Augusta GA,2014,4.2,13.3,30.9,-0.4,4.9,4.7,13.8,10.6,0.6,7.4,7.5,9.3,13.5,10.8,55.2,38.2,5.0,0.1,69.2,2.4,711030
Augusta GA,2015,3.8,12.7,32.0,-0.4,4.3,4.3,13.1,10.7,0.6,7.2,7.2,8.6,13.5,11.1,54.6,37.9,5.1,0.1,69.3,1.9,716099
Augusta GA,2016,4.7,14.9,32.9,0.5,4.0,3.7,13.9,11.1,0.6,7.2,7.0,9.2,13.5,10.3,54.0,37.8,5.1,0.1,78.3,1.8,719784
Augusta GA,2017,4.4,14.2,32.4,0.2,2.8,3.5,12.8,9.6,0.6,7.0,6.2,9.0,13.5,10.5,53.5,37.2,5.2,0.1,81.9,1.8,723376
Augusta GA,2018,4.3,13.8,31.1,-0.2,1.1,2.9,12.1,8.3,0.6,7.2,6.4,9.8,13.5,9.3,52.9,37.3,5.2,0.1,82.4,1.8,725861
Augusta GA,2019,3.8,11.5,29.7,-1.2,0.9,2.5,13.1,8.2,0.6,6.9,6.0,10.5,13.5,8.7,52.6,36.7,5.3,0.1,85.5,1.9,729831
Augusta GA,2020,4.1,11.9,29.7,-1.1,1.2,3.0,13.0,8.0,0.6,7.0,5.9,9.9,13.5,8.4,52.1,36.4,5.6,0.1,86.6,1.9,731094
Augusta GA,2021,4.0,11.5,27.7,-1.6,2.4,3.6,14.0,8.7,0.6,7.2,5.4,9.1,13.5,8.4,51.5,35.7,5.6,0.1,87.7,1.9,734362
Augusta GA,2022,4.2,13.1,29.0,-0.8,0.8,2.6,13.1,7.9,0.6,6.9,5.9,9.8,13.5,8.5,51.6,36.2,5.8,0.2,89.6,1.9,741364
Austin TX,2011,14.3,20.5,37.5,3.3,0.6,4.4,10.2,6.7,0.6,7.6,4.1,8.7,14.5,7.9,56.1,7.0,31.2,0.3,82.5,1.8,1924314
Austin TX,2012,13.8,21.1,37.5,3.5,0.0,3.8,10.3,6.5,0.6,7.3,4.3,8.9,14.5,7.9,55.7,6.9,31.2,0.2,82.5,1.8,1976110
Austin TX,2013,14.3,19.8,36.6,2.9,-0.7,3.5,10.1,5.7,0.6,7.1,4.3,8.6,14.5,7.7,55.4,6.7,31.3,0.2,82.5,1.8,2025601
Austin TX,2014,14.2,19.4,37.1,2.9,-1.3,2.6,10.1,6.4,0.6,7.0,3.1,8.9,14.6,7.5,54.9,6.9,31.3,0.2,83.2,2.7,2086749
Austin TX,2015,14.5,17.5,36.5,2.1,-2.6,2.5,8.7,5.0,0.6,6.9,4.2,8.6,14.6,7.4,54.4,6.8,31.4,0.1,83.7,1.8,2144852
Austin TX,2016,13.8,17.6,37.0,2.2,-2.6,2.5,9.3,4.3,0.6,6.9,4.9,8.8,14.6,7.2,54.1,6.8,31.4,0.2,87.7,1.8,2201677
Austin TX,2017,14.6,17.7,35.8,2.0,-3.7,2.0,8.2,4.5,0.6,6.9,4.5,9.0,14.6,6.5,53.6,6.5,31.7,0.2,89.6,1.9,2262208
Austin TX,2018,14.6,17.6,36.3,2.1,-2.7,2.4,9.1,4.7,0.6,6.7,3.1,8.6,14.7,6.9,53.2,6.6,31.9,0.2,91.6,1.9,2316526
Austin TX,2019,15.2,17.9,35.9,2.1,-3.4,2.1,8.7,4.4,0.6,6.6,4.1,8.5,14.7,6.7,53.0,6.7,31.9,0.2,91.3,1.8,2377462
Austin TX,2020,14.9,17.4,34.4,1.6,-3.6,2.4,8.2,4.2,0.6,6.8,3.6,8.1,14.7,6.1,51.5,6.6,31.9,0.1,93.0,1.9,2452325
Austin TX,2021,15.2,17.6,33.6,1.6,-3.8,2.7,7.5,4.1,0.6,6.6,4.6,8.3,14.7,5.8,50.6,6.4,32.0,0.1,94.4,1.8,2504420
Austin TX,2022,15.4,16.8,33.6,1.3,-5.3,1.7,6.7,3.5,0.6,6.7,5.4,7.8,14.8,5.6,49.9,6.6,31.9,0.1,94.4,1.8,2575356
Bakersfield CA,2011,20.4,19.2,43.3,3.9,12.1,6.6,18.6,15.3,0.6,8.7,4.8,7.8,13.7,16.0,37.8,5.5,50.0,0.7,69.6,1.8,851710
Bakersfield CA,2012,20.8,18.7,42.5,3.6,11.4,6.1,17.8,15.2,0.6,8.6,5.1,7.5,13.7,16.4,37.4,5.1,50.3,0.7,69.6,1.9,856158
Bakersfield CA,2013,20.5,18.3,45.7,4.0,9.4,5.2,16.5,14.4,0.6,8.5,5.5,7.2,13.7,15.4,36.8,5.3,50.9,0.6,69.6,1.9,864124
Bakersfield CA,2014,19.4,16.2,43.8,2.9,9.4,4.6,17.3,15.1,0.6,8.4,4.5,8.2,13.7,15.2,36.0,4.9,51.5,0.4,70.4,2.8,874589
Bakersfield CA,2015,20.4,13.6,42.4,1.8,8.8,4.8,16.1,13.6,0.6,8.2,2.7,6.7,13.7,16.0,35.4,5.4,52.2,0.4,71.7,1.9,882176
Bakersfield CA,2016,20.1,17.2,42.8,3.1,8.5,4.9,15.1,13.8,0.6,8.1,3.8,7.2,13.7,15.8,34.6,5.0,52.8,0.5,80.2,1.9,884788
Bakersfield CA,2017,19.6,14.6,41.5,2.0,7.8,4.0,16.3,12.4,0.6,7.9,3.9,7.4,13.7,16.3,33.9,5.0,53.4,0.5,80.0,1.9,893119
Bakersfield CA,2018,20.1,12.0,41.0,0.9,7.2,3.8,15.5,12.5,0.6,7.8,2.3,6.7,13.7,16.0,33.4,5.3,54.0,0.6,84.4,1.9,896764
Bakersfield CA,2019,19.8,13.2,40.0,1.2,5.7,3.4,15.0,11.2,0.6,7.7,3.8,7.1,13.7,14.5,32.8,5.0,54.6,0.5,83.5,1.9,900202
Bakersfield CA,2020,19.7,10.2,38.9,-0.0,6.3,3.6,15.9,11.5,0.6,7.9,4.6,6.8,13.7,14.3,31.5,4.9,55.3,0.4,87.2,2.0,906883
Bakersfield CA,2021,19.7,7.9,37.8,-1.1,6.8,4.3,16.2,11.2,0.6,7.8,5.4,6.5,13.7,14.1,30.2,4.9,56.1,0.4,90.7,1.9,917673
