DMA,Year,Percentage of Foreign Born,Percentage of Moved In,Percentage of Renter,Mobility Index,Concentrated Disadvantaged Index,Percentage of Unemployed,Percentage of Single Parent Households,Percentage of Poverty,Heterogeneity Index,Percentage of Young Males,Percentage of Dropped Out,Percentage of Divorced,Population (logged),Less than High School,Percentage of White,Percentage of Black,Percentage of Hispanic,Percentage of Native Americans,Percentage of Internet Subscription per Household,Average Vehicle HH,Population
Columbus GA,2016,4.1,20.2,45.8,3.9,2.1,3.3,13.1,9.0,0.6,8.2,3.7,9.4,12.6,8.1,47.3,41.0,6.7,0.4,76.6,1.7,307816
Columbus GA,2017,4.0,21.4,42.8,3.7,3.9,4.3,13.5,10.7,0.6,7.6,3.8,9.7,12.6,8.6,45.9,41.6,7.0,0.2,76.5,1.7,305911
Columbus GA,2018,3.7,22.1,41.5,3.7,2.5,3.4,13.5,9.2,0.6,7.6,4.4,10.4,12.6,8.2,46.3,40.9,7.1,0.1,79.0,1.7,307149
Columbus GA,2019,5.8,15.5,39.9,1.5,2.0,2.7,13.8,9.2,0.6,7.5,5.1,9.2,12.7,8.3,45.3,41.1,7.5,0.4,81.5,1.9,322103
Columbus GA,2020,4.7,17.4,40.4,2.1,2.3,2.9,14.5,8.7,0.6,7.2,5.2,10.2,12.7,8.1,44.1,41.5,7.5,0.1,83.1,1.8,326159
Columbus GA,2021,4.2,17.4,40.4,2.1,3.9,2.9,17.2,10.3,0.6,7.7,5.1,10.2,12.7,8.1,43.9,41.0,7.9,0.0,84.7,1.8,326491
Columbus GA,2022,4.5,14.3,38.0,0.8,2.1,2.7,14.1,10.0,0.6,7.0,5.1,10.4,12.7,7.4,43.4,41.2,7.7,0.2,87.8,1.7,324416
Columbus OH,2011,6.8,17.7,35.0,1.2,1.1,4.4,11.6,6.8,0.4,7.2,3.9,9.6,14.4,6.6,75.6,14.5,3.8,0.2,78.0,1.8,1858464
Columbus OH,2012,7.1,17.0,35.4,1.1,0.7,3.8,12.0,6.9,0.4,7.2,2.8,9.5,14.4,6.2,75.1,14.7,3.8,0.1,78.0,1.8,1878714
Columbus OH,2013,7.1,16.4,34.8,0.8,-0.1,3.3,11.3,6.3,0.4,6.9,3.6,9.1,14.5,6.6,75.6,14.4,3.7,0.1,78.0,1.8,1967066
Columbus OH,2014,7.3,17.4,35.7,1.3,-0.0,3.0,11.9,6.9,0.4,6.8,2.3,9.5,14.5,6.3,75.0,14.4,3.8,0.1,80.3,2.7,1994536
Columbus OH,2015,7.7,17.6,36.2,1.4,-0.4,3.0,11.6,6.5,0.4,6.8,2.8,9.4,14.5,6.1,74.3,14.8,3.9,0.1,81.6,1.8,2021632
Columbus OH,2016,7.6,17.2,36.4,1.4,-0.8,2.6,11.7,6.5,0.4,6.7,3.8,9.6,14.5,5.9,73.7,15.1,4.0,0.1,86.4,1.8,2041520
Columbus OH,2017,7.8,16.5,34.2,0.8,-1.6,2.1,11.3,5.6,0.4,6.6,2.6,9.1,14.5,5.9,73.0,15.4,4.1,0.1,87.8,1.9,2078725
Columbus OH,2018,8.9,15.9,33.9,0.5,-1.9,2.2,11.3,5.3,0.5,6.6,4.3,9.3,14.6,5.3,72.2,15.5,4.3,0.1,88.5,1.8,2106541
Columbus OH,2019,8.7,17.1,34.9,1.1,-2.1,2.0,11.1,5.3,0.5,6.5,3.2,9.4,14.6,5.6,71.8,15.8,4.4,0.2,90.4,1.8,2122271
Columbus OH,2020,9.1,15.0,33.7,0.2,-1.9,2.3,11.2,5.4,0.5,6.7,3.8,9.0,14.6,5.3,70.4,15.7,4.6,0.1,91.7,1.8,2137223
Columbus OH,2021,9.6,14.8,33.9,0.2,-1.4,2.7,11.6,5.4,0.5,6.6,3.6,8.6,14.6,5.2,69.6,15.7,4.7,0.1,93.0,1.8,2151017
Columbus OH,2022,9.8,14.5,33.5,0.0,-2.6,1.8,10.7,5.1,0.5,6.7,2.4,9.0,14.6,5.4,68.6,15.1,4.9,0.1,93.9,1.8,2161511
Corpus Christi TX,2011,7.5,19.1,39.3,2.4,5.9,3.8,16.1,10.9,0.5,7.4,9.5,11.3,13.0,12.3,35.4,3.1,58.3,0.2,70.1,1.7,431381
Corpus Christi TX,2012,7.1,17.8,37.1,1.6,4.4,3.2,14.1,8.7,0.5,7.3,6.5,10.4,13.0,13.9,35.6,3.4,58.3,0.3,70.1,1.7,435596
Corpus Christi TX,2013,7.4,19.8,37.7,2.3,4.2,2.9,14.7,9.8,0.5,7.3,2.2,8.7,13.0,12.3,35.0,3.4,58.5,0.1,70.1,1.8,444904
Corpus Christi TX,2014,7.0,17.0,36.8,1.4,2.7,3.0,12.8,8.3,0.5,7.2,7.8,9.6,13.0,11.9,34.0,3.4,59.6,0.2,72.4,2.7,443480
Corpus Christi TX,2015,8.8,20.2,39.8,2.8,3.3,2.8,12.7,9.4,0.5,7.2,2.6,9.6,13.0,12.7,33.7,3.4,59.8,0.2,71.9,1.7,450436
Corpus Christi TX,2016,8.3,17.5,37.2,1.6,2.5,2.7,14.2,7.5,0.5,7.4,7.5,9.3,13.0,11.1,32.8,3.4,61.1,0.2,79.4,1.8,452790
Corpus Christi TX,2017,7.4,14.5,36.7,0.6,3.7,3.1,14.4,8.9,0.5,7.3,6.1,9.8,13.0,11.6,33.0,3.4,60.6,0.3,81.9,1.8,449830
Corpus Christi TX,2018,7.9,17.6,35.3,1.3,3.2,2.9,13.3,9.7,0.5,7.2,2.6,9.9,13.0,11.5,32.7,3.2,61.1,0.2,83.5,1.8,452927
Corpus Christi TX,2019,8.5,15.1,35.1,0.5,2.6,2.4,15.2,7.8,0.5,7.1,4.2,10.4,13.0,10.5,30.1,3.5,63.6,0.1,85.3,1.8,429024
Corpus Christi TX,2020,8.3,15.2,36.0,0.7,2.5,2.6,13.5,9.1,0.5,7.4,6.4,9.5,13.0,10.4,29.5,3.1,63.9,0.1,86.2,1.8,422187
Corpus Christi TX,2021,8.2,14.4,35.9,0.4,2.5,2.6,13.2,10.0,0.5,7.1,5.7,8.8,13.0,10.0,29.0,2.7,64.1,0.1,87.0,1.8,422778
Corpus Christi TX,2022,7.8,13.3,32.8,-0.4,3.0,2.4,14.6,9.5,0.5,7.6,7.2,8.7,13.0,10.7,28.6,3.0,64.3,0.2,86.3,1.8,421628
Dallas-Ft. Worth TX,2011,17.5,16.5,35.3,0.9,3.8,4.5,13.2,8.5,0.7,7.0,5.9,8.5,15.7,10.3,49.6,14.6,28.1,0.3,78.1,1.8,6526566
Dallas-Ft. Worth TX,2012,17.7,16.3,36.8,1.2,2.9,4.0,12.7,8.1,0.7,7.0,4.5,8.5,15.7,10.2,49.1,15.0,28.0,0.3,78.1,1.8,6647496
Dallas-Ft. Worth TX,2013,17.5,17.0,36.8,1.4,2.5,3.6,13.0,8.0,0.7,7.0,4.7,8.7,15.7,9.9,48.9,14.9,28.0,0.3,78.1,1.8,6812373
Dallas-Ft. Worth TX,2014,17.9,16.8,37.1,1.4,2.2,3.2,12.8,8.0,0.7,6.9,4.7,8.7,15.8,10.0,48.3,14.9,28.2,0.2,77.9,2.7,6954003
Dallas-Ft. Worth TX,2015,18.2,16.0,37.0,1.1,1.1,2.5,12.4,7.1,0.7,6.9,4.5,8.5,15.8,10.0,47.7,15.2,28.4,0.3,78.7,1.9,7102165
Dallas-Ft. Worth TX,2016,18.2,15.5,37.0,1.0,0.7,2.3,12.3,6.7,0.7,6.9,4.7,8.0,15.8,9.8,47.1,15.2,28.6,0.3,85.2,1.9,7232599
Dallas-Ft. Worth TX,2017,18.7,15.6,36.1,0.8,-0.0,2.3,11.7,5.8,0.7,6.9,4.6,8.4,15.8,9.4,46.3,15.4,28.9,0.3,87.9,1.9,7400479
Dallas-Ft. Worth TX,2018,18.8,15.3,36.6,0.8,-0.4,2.3,11.4,5.7,0.7,6.8,3.6,7.9,15.8,9.0,45.6,15.6,29.0,0.3,88.4,1.9,7540371
Dallas-Ft. Worth TX,2019,19.2,14.5,36.0,0.5,-0.8,2.2,11.2,5.3,0.7,6.9,3.6,8.4,15.8,8.7,44.9,15.9,29.3,0.3,89.5,1.9,7573136
Dallas-Ft. Worth TX,2020,18.8,14.2,35.2,0.3,-0.8,2.5,10.9,5.4,0.7,7.1,4.1,7.9,15.9,8.4,43.7,15.8,29.4,0.2,91.2,1.9,7673379
Dallas-Ft. Worth TX,2021,19.1,13.1,34.6,-0.2,-0.4,2.8,10.6,5.7,0.7,6.9,4.0,7.7,15.9,8.5,42.8,15.8,29.6,0.1,92.8,1.9,7759615
Dallas-Ft. Worth TX,2022,18.9,13.9,33.8,-0.1,-1.7,2.1,10.2,5.1,0.7,7.2,4.8,7.7,15.9,8.0,42.1,16.0,29.7,0.2,93.7,1.9,7943685
Davenport IA-Rock Island-Moline IL,2011,4.4,12.5,25.1,-2.0,0.0,3.5,11.3,5.6,0.3,6.6,3.4,10.7,12.8,7.3,81.6,7.0,7.9,0.2,73.2,1.8,379592
Davenport IA-Rock Island-Moline IL,2012,5.0,13.9,25.8,-1.5,-0.8,3.7,10.4,5.5,0.3,6.5,3.9,10.5,12.9,5.8,81.1,6.6,8.0,0.2,73.2,1.8,381928
Davenport IA-Rock Island-Moline IL,2013,4.8,11.7,27.3,-1.9,-0.5,3.1,10.3,6.5,0.3,6.4,2.8,9.7,12.9,7.1,80.6,7.7,8.2,0.2,73.2,1.8,383257
Davenport IA-Rock Island-Moline IL,2014,5.1,12.2,27.0,-1.8,-0.6,3.3,11.0,6.0,0.3,6.5,2.7,10.2,12.9,6.2,80.1,7.0,8.3,0.2,72.5,2.7,382382
Davenport IA-Rock Island-Moline IL,2015,5.0,12.0,25.9,-2.0,-1.5,2.7,10.3,5.6,0.4,6.2,2.5,9.4,12.9,6.5,79.7,7.1,8.5,0.1,75.4,1.8,384584
Davenport IA-Rock Island-Moline IL,2016,4.8,11.1,26.4,-2.2,-1.1,2.3,10.9,7.1,0.4,6.1,3.0,9.1,12.9,5.9,79.1,7.3,8.6,0.3,79.1,1.8,383352
Davenport IA-Rock Island-Moline IL,2017,5.3,13.2,25.6,-1.7,-1.9,2.4,10.6,4.7,0.4,6.2,3.8,9.6,12.9,6.1,78.9,7.4,8.7,0.2,82.7,1.8,382298
Davenport IA-Rock Island-Moline IL,2018,5.2,12.2,26.8,-1.8,-1.0,2.6,11.1,6.3,0.4,6.2,2.1,10.7,12.8,6.2,78.2,7.0,9.0,0.2,84.2,1.8,380106
Davenport IA-Rock Island-Moline IL,2019,5.5,13.3,27.4,-1.4,-2.3,2.1,10.2,5.0,0.4,6.1,3.5,9.9,12.8,6.2,78.3,7.5,9.0,0.3,84.7,1.8,378923
Davenport IA-Rock Island-Moline IL,2020,5.2,12.3,25.7,-2.0,-1.9,2.4,10.7,5.5,0.4,6.4,3.6,9.5,12.9,5.4,76.9,7.3,9.3,0.1,86.8,1.8,382983
Davenport IA-Rock Island-Moline IL,2021,5.6,11.9,25.2,-2.2,-1.3,3.2,9.7,6.3,0.4,6.5,4.8,9.0,12.9,5.6,75.9,6.2,9.5,0.2,88.9,1.8,381447
Davenport IA-Rock Island-Moline IL,2022,4.8,12.9,23.8,-2.1,-2.7,1.6,10.8,5.3,0.4,6.4,3.0,8.9,12.8,5.1,75.0,7.3,9.6,0.1,89.7,1.8,378269
Dayton OH,2011,3.6,16.7,32.7,0.5,2.7,5.0,12.0,8.2,0.4,7.0,2.3,10.6,13.6,7.8,78.7,14.8,2.2,0.2,73.0,1.7,845388
Dayton OH,2012,3.4,17.1,34.0,0.9,2.2,4.9,12.0,7.4,0.4,7.1,3.9,11.2,13.6,7.4,78.4,14.8,2.2,0.1,73.0,1.7,842858
Dayton OH,2013,3.7,18.1,34.5,1.3,2.4,4.7,12.7,7.9,0.4,7.2,3.1,10.8,13.6,7.2,77.3,15.3,2.4,0.1,73.0,1.7,802489
Dayton OH,2014,4.0,17.5,34.5,1.1,2.0,3.9,13.1,8.5,0.4,6.9,4.4,11.0,13.6,6.7,77.1,15.5,2.5,0.2,75.6,2.6,800836
Dayton OH,2015,4.3,18.3,33.1,1.1,0.5,3.5,11.5,7.4,0.4,6.9,3.1,10.6,13.6,6.5,76.9,15.1,2.6,0.1,77.5,1.8,800909
Dayton OH,2016,4.5,16.3,34.0,0.7,0.1,3.0,11.7,7.5,0.4,6.8,3.1,10.6,13.6,6.5,76.6,15.4,2.6,0.1,83.5,1.8,800683
Dayton OH,2017,4.7,17.9,33.7,1.1,-0.9,2.9,10.9,5.9,0.4,6.7,1.5,9.6,13.6,6.4,76.2,15.1,2.7,0.1,86.2,1.8,803416
Dayton OH,2018,4.3,17.9,34.3,1.2,-0.4,2.8,12.2,6.3,0.4,6.8,1.9,10.8,13.6,6.0,76.0,15.1,2.9,0.2,86.9,1.8,806548
Denver CO,2011,12.1,18.7,34.2,1.4,0.8,5.1,10.4,5.6,0.5,6.4,7.2,10.0,14.8,6.9,65.6,5.4,22.7,0.4,81.5,1.8,2600594
Denver CO,2012,12.2,18.6,35.2,1.5,0.1,4.1,10.7,5.6,0.5,6.3,5.1,10.2,14.8,6.8,65.3,5.5,22.8,0.4,81.5,1.8,2645209
Denver CO,2013,12.0,17.8,33.9,1.1,-0.8,3.6,9.9,5.4,0.5,6.2,5.5,9.8,14.8,6.7,65.1,5.2,22.7,0.4,81.5,1.8,2697476
Denver CO,2014,12.7,18.5,35.0,1.5,-1.8,2.6,9.9,4.7,0.5,6.2,6.0,9.8,14.8,7.0,64.8,5.4,22.8,0.5,82.9,2.8,2754258
Denver CO,2015,12.3,17.3,34.0,1.0,-2.2,2.5,9.6,4.4,0.5,6.2,5.8,9.5,14.9,6.5,64.5,5.3,22.9,0.4,84.7,1.9,2814330
Denver CO,2016,12.2,17.3,33.5,0.9,-3.0,2.2,9.1,3.9,0.5,6.2,5.9,9.5,14.9,6.3,64.6,5.5,22.9,0.4,88.7,1.9,2853077
Denver CO,2017,12.3,17.2,32.4,0.7,-3.5,1.9,9.0,3.6,0.5,6.1,3.6,9.6,14.9,6.1,64.2,5.5,23.1,0.4,90.1,1.9,2888227
Denver CO,2018,11.9,17.1,32.8,0.7,-3.9,2.0,8.4,3.2,0.5,6.0,2.8,9.4,14.9,6.0,63.7,5.4,23.2,0.4,91.1,1.9,2932415
Denver CO,2019,11.9,16.9,31.7,0.4,-4.1,1.9,8.3,3.2,0.5,6.1,5.1,9.6,14.9,5.5,63.5,5.5,23.3,0.5,92.7,1.9,2967239
Denver CO,2020,12.0,16.6,31.2,0.2,-3.6,2.5,8.4,3.2,0.6,6.2,4.4,9.2,14.9,5.6,62.3,5.4,23.5,0.3,93.2,1.9,2959386
Denver CO,2021,12.3,16.1,30.0,-0.1,-3.0,3.1,8.2,3.2,0.6,6.0,3.7,9.0,14.9,5.7,61.3,5.3,23.6,0.3,93.7,1.9,2972567
Denver CO,2022,12.0,15.9,30.5,-0.1,-4.4,2.0,7.8,3.1,0.6,6.2,5.8,8.7,14.9,5.4,61.1,5.4,23.9,0.3,94.0,1.9,2985871
Des Moines-Ames IA,2011,7.7,15.9,24.3,-1.2,-1.3,3.8,10.2,4.8,0.3,6.3,3.6,8.9,13.3,5.2,83.3,4.6,6.9,0.2,79.3,1.9,578665
Des Moines-Ames IA,2012,6.9,16.4,26.3,-0.7,-0.8,3.1,11.9,6.4,0.3,6.3,2.8,9.1,13.3,4.4,82.9,4.5,6.9,0.2,79.3,1.9,588999
Des Moines-Ames IA,2013,8.1,17.5,27.4,-0.2,-1.7,2.9,11.1,5.3,0.3,6.3,1.7,8.5,13.3,4.5,82.3,4.9,7.0,0.2,79.3,1.9,599789
Des Moines-Ames IA,2014,7.7,17.2,27.7,-0.2,-2.2,2.5,10.2,5.6,0.3,6.3,3.1,8.8,13.3,4.8,82.1,4.9,7.1,0.1,80.3,2.8,611549
Des Moines-Ames IA,2015,7.6,18.8,27.9,0.3,-2.2,2.7,10.3,4.5,0.3,6.5,4.2,9.4,13.3,5.3,81.7,4.9,7.2,0.2,80.6,1.9,622899
Des Moines-Ames IA,2016,7.7,17.8,26.9,-0.2,-2.5,2.4,10.5,4.1,0.3,6.2,4.1,9.7,13.4,5.3,81.3,5.0,7.2,0.2,85.9,1.9,634725
Des Moines-Ames IA,2017,7.8,15.8,25.0,-1.1,-3.5,1.8,9.9,3.6,0.3,6.4,4.6,9.5,13.4,5.2,80.6,4.9,7.4,0.2,85.6,1.9,645911
Des Moines-Ames IA,2018,8.8,17.2,26.6,-0.4,-3.6,1.8,10.1,3.8,0.3,6.3,2.9,8.6,13.4,4.4,80.2,5.2,7.5,0.1,87.7,2.0,655409
Des Moines-Ames IA,2019,8.6,13.0,27.1,-1.5,-2.7,2.3,10.8,4.1,0.3,6.4,3.8,8.6,13.5,4.5,80.7,5.9,7.4,0.2,86.9,2.0,699292
Des Moines-Ames IA,2020,8.3,14.3,25.1,-1.5,-3.3,2.3,10.0,4.0,0.4,6.4,4.1,8.7,13.5,4.2,79.4,5.4,7.6,0.1,89.2,1.9,711490
Des Moines-Ames IA,2021,8.3,16.0,23.7,-1.2,-4.0,2.0,9.2,3.4,0.4,6.4,2.6,8.2,13.5,4.4,78.4,5.7,7.8,0.2,91.5,1.9,719146
Des Moines-Ames IA,2022,9.3,12.9,22.9,-2.3,-4.1,1.8,9.3,3.7,0.4,6.7,1.8,8.4,13.5,4.1,78.3,5.7,8.0,0.0,92.7,1.9,729053
Detroit MI,2011,8.7,13.3,27.6,-1.4,4.9,7.2,11.9,8.9,0.5,6.7,5.7,9.2,15.3,8.1,67.6,22.5,4.0,0.2,72.8,1.7,4285832
Detroit MI,2012,8.9,13.3,28.2,-1.3,3.7,6.1,11.6,8.7,0.5,6.8,5.1,9.4,15.3,7.9,67.4,22.5,4.1,0.2,72.8,1.7,4292060
Detroit MI,2013,9.3,13.7,28.6,-1.0,2.8,5.2,11.8,8.3,0.5,6.7,4.9,9.4,15.3,7.7,67.3,22.3,4.1,0.2,72.8,1.7,4294983
Detroit MI,2014,9.4,13.1,29.0,-1.2,1.7,4.5,11.3,7.8,0.5,6.7,4.3,9.5,15.3,7.4,67.1,22.3,4.2,0.3,74.5,2.6,4296611
Detroit MI,2015,9.5,12.8,29.1,-1.2,1.1,3.9,11.1,7.8,0.5,6.6,4.8,9.1,15.3,7.3,66.8,22.3,4.3,0.2,75.8,1.7,4302043
Detroit MI,2016,9.7,13.1,29.2,-1.1,0.0,3.4,10.7,6.7,0.5,6.5,5.0,9.5,15.3,7.1,66.6,22.1,4.3,0.2,81.7,1.7,4297617
Detroit MI,2017,10.3,12.7,27.9,-1.5,-0.4,3.2,10.5,6.7,0.5,6.4,3.4,9.1,15.3,6.8,66.4,22.2,4.4,0.3,84.1,1.7,4313002
Detroit MI,2018,10.3,11.5,27.6,-1.9,-0.8,2.8,10.4,6.4,0.5,6.3,3.9,9.3,15.3,6.8,66.1,22.1,4.6,0.3,85.2,1.7,4326442
Detroit MI,2019,10.3,11.5,26.6,-2.1,-1.6,2.7,10.0,5.6,0.5,6.2,3.9,9.3,15.3,6.3,65.9,21.9,4.6,0.3,87.6,1.7,4319629
Detroit MI,2020,10.2,10.5,25.9,-2.5,-0.9,3.3,10.0,5.9,0.5,6.3,4.2,9.2,15.3,6.2,64.7,21.6,4.8,0.2,89.7,1.7,4375604
Detroit MI,2021,10.0,9.5,25.3,-2.9,-0.1,4.0,10.4,6.2,0.5,6.1,4.9,9.2,15.3,6.1,64.0,21.4,4.9,0.1,91.9,1.7,4365205
Detroit MI,2022,10.3,10.0,24.3,-2.9,-1.6,2.6,9.9,6.2,0.5,6.2,3.4,9.0,15.3,6.2,63.8,21.2,5.1,0.1,92.1,1.7,4345761
Dothan AL,2011,1.9,12.1,30.9,-1.1,5.0,4.4,13.1,10.9,0.4,6.0,5.0,10.5,11.9,11.8,71.2,22.4,3.1,0.3,64.7,1.8,146562
Dothan AL,2012,2.2,13.3,32.2,-0.5,4.2,3.9,12.3,10.2,0.4,5.9,2.3,11.7,11.9,12.4,70.7,23.8,3.2,0.3,64.7,1.8,147620
Dothan AL,2013,1.7,12.7,31.7,-0.8,3.4,3.8,12.3,9.8,0.4,5.9,2.3,11.1,11.9,10.9,70.6,23.4,3.2,0.3,64.7,1.8,147691
Dothan AL,2014,3.6,14.0,34.0,-0.0,4.3,3.9,12.4,10.7,0.4,6.3,2.3,11.5,11.9,12.1,70.4,23.0,3.3,0.2,64.6,2.7,148095
Dothan AL,2015,1.9,12.2,34.0,-0.5,3.5,3.9,12.3,9.3,0.4,6.2,2.5,10.4,11.9,11.4,70.4,23.9,2.8,0.3,67.6,1.8,148171
Dothan AL,2016,1.7,11.4,31.8,-1.2,3.3,3.1,12.5,10.0,0.4,6.0,3.8,10.9,11.9,11.9,70.2,24.0,3.3,0.3,70.9,1.8,147834
Dothan AL,2017,1.7,10.6,30.5,-1.6,1.1,2.4,11.2,9.1,0.5,6.3,7.0,10.9,11.9,9.9,70.0,23.5,3.4,0.4,76.1,1.9,147914
Dothan AL,2018,1.9,11.0,31.6,-1.3,0.9,2.9,9.9,8.2,0.5,5.8,2.6,11.0,11.9,10.6,69.7,24.8,3.5,0.1,74.4,1.9,148245
Dothan AL,2019,2.7,9.1,31.0,-2.0,1.2,2.1,10.6,9.1,0.5,5.7,3.0,11.1,11.9,11.4,68.5,24.4,3.5,0.4,81.8,1.9,149358
Dothan AL,2020,2.2,10.0,30.3,-1.8,0.6,2.2,10.9,8.5,0.5,5.9,3.5,11.1,11.9,9.7,68.2,23.7,3.6,0.2,82.8,1.9,150969
Dothan AL,2021,2.0,10.7,32.0,-1.4,1.4,2.0,12.6,9.4,0.5,5.6,3.5,11.3,11.9,9.3,67.6,23.1,3.7,0.0,83.8,1.9,151618
Dothan AL,2022,2.0,10.1,27.0,-2.4,0.3,1.9,11.7,7.6,0.5,5.8,4.0,12.4,11.9,9.5,67.8,23.4,3.9,0.2,83.9,1.9,152517
Duluth MN-Superior WI,2011,2.5,14.2,23.3,-1.9,-0.5,4.7,9.3,6.0,0.2,7.9,4.1,9.6,12.5,4.9,91.8,1.3,1.3,2.6,69.3,1.8,279761
Duluth MN-Superior WI,2012,1.6,16.2,24.9,-1.0,-0.9,4.1,10.0,5.9,0.2,7.9,3.4,11.1,12.5,4.3,91.6,1.3,1.3,2.4,69.3,1.8,279452
Duluth MN-Superior WI,2013,1.6,14.9,25.1,-1.3,-1.0,3.4,10.6,5.9,0.2,7.6,1.3,10.7,12.5,5.2,91.4,1.5,1.3,2.6,69.3,1.8,279887
Duluth MN-Superior WI,2014,2.0,15.0,23.4,-1.6,-2.3,2.9,9.2,6.0,0.2,7.6,3.3,9.8,12.5,4.2,91.1,1.5,1.4,2.4,72.5,2.7,280218
Duluth MN-Superior WI,2015,2.2,15.5,23.1,-1.5,-2.9,2.3,9.8,5.1,0.2,8.0,5.1,9.8,12.5,4.0,91.0,1.2,1.6,1.9,72.6,1.9,279601
Duluth MN-Superior WI,2016,2.3,15.0,25.2,-1.3,-3.1,2.2,9.7,5.1,0.2,7.8,2.5,10.5,12.5,4.1,90.9,1.7,1.6,2.6,77.7,1.9,279227
Duluth MN-Superior WI,2017,2.3,16.3,24.2,-1.1,-3.7,2.5,8.9,3.8,0.2,7.4,3.9,10.5,12.5,4.1,90.8,1.5,1.7,2.3,81.8,1.9,278782
Duluth MN-Superior WI,2018,1.8,16.1,24.8,-1.0,-3.7,2.3,8.6,4.3,0.2,7.6,5.4,10.5,12.5,4.0,90.6,1.4,1.7,2.2,81.2,1.9,278799
Duluth MN-Superior WI,2019,2.5,13.2,22.5,-2.3,-3.9,1.7,9.9,4.0,0.2,7.1,3.5,11.1,12.6,4.0,90.8,1.6,1.8,2.3,84.6,1.9,289383
Duluth MN-Superior WI,2021,2.1,12.5,20.5,-2.9,-3.8,2.1,9.5,4.3,0.2,7.4,1.7,11.0,12.6,3.2,89.6,1.4,1.9,1.6,88.9,1.9,292285
Duluth MN-Superior WI,2022,1.4,12.5,21.8,-2.6,-5.4,1.8,7.3,3.8,0.2,7.4,4.4,9.8,12.6,2.9,89.2,1.5,1.9,1.7,89.6,1.9,291931
El Paso TX,2011,26.0,17.2,36.6,1.4,9.0,3.6,16.8,16.0,0.3,8.7,4.3,8.8,13.6,15.5,13.7,2.9,81.4,0.3,65.2,1.8,820790
El Paso TX,2012,25.2,14.1,36.4,0.4,9.4,4.5,16.9,15.8,0.3,8.7,4.0,8.0,13.6,14.5,13.5,3.0,81.2,0.3,65.2,1.8,827398
El Paso TX,2013,26.4,13.8,35.5,0.2,8.1,3.7,15.9,14.7,0.3,8.7,5.8,8.1,13.6,15.0,13.5,3.0,81.1,0.3,65.2,1.8,831935
El Paso TX,2014,25.7,13.4,34.8,-0.0,8.3,3.5,16.4,15.5,0.3,8.7,4.4,8.2,13.6,14.6,13.3,3.4,81.2,0.3,64.9,2.7,836444
El Paso TX,2015,24.6,14.6,34.0,0.2,5.4,2.8,14.6,12.1,0.3,8.5,3.6,8.0,13.6,13.8,13.0,3.3,81.3,0.3,67.9,1.8,838019
El Paso TX,2016,25.1,14.9,36.8,0.7,6.6,2.5,16.1,14.2,0.3,8.4,2.5,7.9,13.6,14.1,12.3,3.2,82.2,0.2,79.8,1.8,842114
El Paso TX,2017,25.3,14.9,35.0,0.4,6.2,2.8,16.0,13.3,0.3,8.4,2.6,8.2,13.6,13.2,11.8,3.0,82.8,0.3,81.2,1.9,842677
El Paso TX,2018,24.6,15.5,34.7,0.6,5.8,2.9,15.1,12.5,0.3,8.4,5.1,8.2,13.6,13.6,11.6,2.8,82.9,0.2,79.7,1.9,844723
El Paso TX,2019,22.3,14.9,36.4,0.7,5.2,2.6,16.2,11.3,0.3,8.3,2.6,8.3,13.6,12.6,11.7,3.0,82.9,0.3,84.6,1.8,843725
El Paso TX,2020,23.5,13.1,33.4,-0.4,5.5,3.1,15.2,12.2,0.3,8.5,3.6,7.8,13.7,12.4,11.2,2.8,82.9,0.3,86.9,1.9,867161
El Paso TX,2021,23.0,12.4,31.1,-1.0,6.1,3.8,15.7,12.2,0.3,8.3,2.8,7.7,13.7,11.8,11.1,2.7,82.9,0.2,89.3,1.9,871727
El Paso TX,2022,23.8,11.4,33.8,-0.8,5.1,2.6,14.7,13.3,0.3,8.4,5.4,7.8,13.7,11.9,10.7,3.2,82.9,0.2,89.6,1.9,871323
Elmira NY,2011,3.5,16.6,28.4,-0.2,1.0,2.6,11.8,8.5,0.3,6.9,11.0,8.4,11.4,8.7,78.6,4.5,3.3,0.2,70.8,1.7,88840
Elmira NY,2012,2.5,13.5,23.4,-2.0,-0.6,3.0,10.4,5.9,0.3,6.9,11.0,10.2,11.4,7.6,78.6,4.5,3.3,0.2,70.8,1.6,88911
Elmira NY,2013,2.1,14.6,28.0,-0.9,0.2,3.2,10.5,7.6,0.3,6.3,11.0,7.7,11.4,7.7,78.9,4.5,3.3,0.2,70.8,1.6,88506
Elmira NY,2014,3.5,14.0,29.2,-0.9,0.2,1.7,12.6,10.4,0.3,6.3,11.0,8.2,11.4,5.7,79.6,4.5,3.4,0.2,73.2,2.5,87770
Elmira NY,2015,3.1,13.3,27.4,-1.4,-1.7,2.2,10.1,6.6,0.3,6.3,11.0,8.0,11.4,6.3,80.2,4.6,3.4,0.2,74.0,1.7,87071
Elmira NY,2016,3.5,11.3,27.1,-2.0,-2.3,2.5,9.8,4.5,0.3,6.4,11.0,8.7,11.4,6.1,80.9,4.6,3.4,0.2,78.8,1.6,86322
Elmira NY,2017,3.0,12.6,28.6,-1.4,0.5,2.8,12.9,6.6,0.3,6.0,11.0,9.4,11.4,7.5,81.6,4.6,3.5,0.2,84.2,1.6,85557
