,index,Region,Car CPI
77,6/1/2023,"Atlanta-Sandy Springs-Roswell, GA",142.308
78,7/1/2023,"Atlanta-Sandy Springs-Roswell, GA",142.308
79,8/1/2023,"Atlanta-Sandy Springs-Roswell, GA",140.698
80,9/1/2023,"Atlanta-Sandy Springs-Roswell, GA",140.698
81,10/1/2023,"Atlanta-Sandy Springs-Roswell, GA",137.266
82,11/1/2023,"Atlanta-Sandy Springs-Roswell, GA",137.266
83,12/1/2023,"Atlanta-Sandy Springs-Roswell, GA",136.703
84,1/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.703
85,2/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
86,3/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
87,4/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
88,5/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
89,6/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
90,7/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
91,8/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
92,9/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
93,10/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
94,11/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
95,12/1/2024,"Atlanta-Sandy Springs-Roswell, GA",136.712
96,1/1/2017,"Baltimore-Columbia-Towson, MD",99.723
97,2/1/2017,"Baltimore-Columbia-Towson, MD",99.723
98,3/1/2017,"Baltimore-Columbia-Towson, MD",99.723
99,4/1/2017,"Baltimore-Columbia-Towson, MD",99.723
100,5/1/2017,"Baltimore-Columbia-Towson, MD",99.723
101,6/1/2017,"Baltimore-Columbia-Towson, MD",99.723
102,7/1/2017,"Baltimore-Columbia-Towson, MD",99.723
103,8/1/2017,"Baltimore-Columbia-Towson, MD",99.723
104,9/1/2017,"Baltimore-Columbia-Towson, MD",99.723
105,10/1/2017,"Baltimore-Columbia-Towson, MD",99.723
106,11/1/2017,"Baltimore-Columbia-Towson, MD",99.723
107,12/1/2017,"Baltimore-Columbia-Towson, MD",99.723
108,1/1/2018,"Baltimore-Columbia-Towson, MD",99.723
109,2/1/2018,"Baltimore-Columbia-Towson, MD",100.42
110,3/1/2018,"Baltimore-Columbia-Towson, MD",100.42
111,4/1/2018,"Baltimore-Columbia-Towson, MD",100.026
112,5/1/2018,"Baltimore-Columbia-Towson, MD",100.026
113,6/1/2018,"Baltimore-Columbia-Towson, MD",97.643
114,7/1/2018,"Baltimore-Columbia-Towson, MD",97.643
115,8/1/2018,"Baltimore-Columbia-Towson, MD",96.813
116,9/1/2018,"Baltimore-Columbia-Towson, MD",96.813
117,10/1/2018,"Baltimore-Columbia-Towson, MD",97.289
118,11/1/2018,"Baltimore-Columbia-Towson, MD",97.289
119,12/1/2018,"Baltimore-Columbia-Towson, MD",96.643
120,1/1/2019,"Baltimore-Columbia-Towson, MD",96.643
121,2/1/2019,"Baltimore-Columbia-Towson, MD",98.412
122,3/1/2019,"Baltimore-Columbia-Towson, MD",98.412
123,4/1/2019,"Baltimore-Columbia-Towson, MD",98.698
124,5/1/2019,"Baltimore-Columbia-Towson, MD",98.698
125,6/1/2019,"Baltimore-Columbia-Towson, MD",95.766
126,7/1/2019,"Baltimore-Columbia-Towson, MD",95.766
127,8/1/2019,"Baltimore-Columbia-Towson, MD",96.3
128,9/1/2019,"Baltimore-Columbia-Towson, MD",96.3
129,10/1/2019,"Baltimore-Columbia-Towson, MD",94.856
130,11/1/2019,"Baltimore-Columbia-Towson, MD",94.856
131,12/1/2019,"Baltimore-Columbia-Towson, MD",97.565
132,1/1/2020,"Baltimore-Columbia-Towson, MD",97.565
133,2/1/2020,"Baltimore-Columbia-Towson, MD",96.955
134,3/1/2020,"Baltimore-Columbia-Towson, MD",96.955
135,4/1/2020,"Baltimore-Columbia-Towson, MD",97.507
136,5/1/2020,"Baltimore-Columbia-Towson, MD",97.507
137,6/1/2020,"Baltimore-Columbia-Towson, MD",95.991
138,7/1/2020,"Baltimore-Columbia-Towson, MD",95.991
139,8/1/2020,"Baltimore-Columbia-Towson, MD",98.673
140,9/1/2020,"Baltimore-Columbia-Towson, MD",98.673
141,10/1/2020,"Baltimore-Columbia-Towson, MD",98.967
142,11/1/2020,"Baltimore-Columbia-Towson, MD",98.967
143,12/1/2020,"Baltimore-Columbia-Towson, MD",100.98
144,1/1/2021,"Baltimore-Columbia-Towson, MD",100.98
145,2/1/2021,"Baltimore-Columbia-Towson, MD",97.727
146,3/1/2021,"Baltimore-Columbia-Towson, MD",97.727
147,4/1/2021,"Baltimore-Columbia-Towson, MD",106.495
148,5/1/2021,"Baltimore-Columbia-Towson, MD",106.495
149,6/1/2021,"Baltimore-Columbia-Towson, MD",106.495
150,7/1/2021,"Baltimore-Columbia-Towson, MD",106.495
151,8/1/2021,"Baltimore-Columbia-Towson, MD",113.141
152,9/1/2021,"Baltimore-Columbia-Towson, MD",113.141
153,10/1/2021,"Baltimore-Columbia-Towson, MD",126.322
154,11/1/2021,"Baltimore-Columbia-Towson, MD",126.322
155,12/1/2021,"Baltimore-Columbia-Towson, MD",136.715
156,1/1/2022,"Baltimore-Columbia-Towson, MD",136.715
157,2/1/2022,"Baltimore-Columbia-Towson, MD",134.755
158,3/1/2022,"Baltimore-Columbia-Towson, MD",134.755
159,4/1/2022,"Baltimore-Columbia-Towson, MD",134.702
160,5/1/2022,"Baltimore-Columbia-Towson, MD",134.702
161,6/1/2022,"Baltimore-Columbia-Towson, MD",139.319
162,7/1/2022,"Baltimore-Columbia-Towson, MD",139.319
163,8/1/2022,"Baltimore-Columbia-Towson, MD",140.132
164,9/1/2022,"Baltimore-Columbia-Towson, MD",140.132
165,10/1/2022,"Baltimore-Columbia-Towson, MD",139.806
166,11/1/2022,"Baltimore-Columbia-Towson, MD",139.806
167,12/1/2022,"Baltimore-Columbia-Towson, MD",137.374
168,1/1/2023,"Baltimore-Columbia-Towson, MD",137.374
